Name,Finish,Lam,N Lams,b,d,A,Ix,Sx,rx,Iy,Sy,ry,Volume 
DF 127x868,Arch,Single,23,127,868,110236,6921204005,15947475,251,148166370,2333329,36.66174205,110236
DF 127x906,Arch,Single,24,127,906,115062,7870585986,17374362,262,154652917,2435479,36.66174215,115062
DF 127x944,Arch,Single,25,127,944,119888,8903042731,18862379,273,161139463,2537629,36.66174213,119888
DF 127x982,Arch,Single,26,127,982,124714,10022058611,20411525,283,167626009,2639780,36.66174211,124714
DF 127x1020,Arch,Single,27,127,1020,129540,11231118000,22021800,294,174112555,2741930,36.66174209,129540
DF 127x1058,Arch,Single,28,127,1058,134366,12533705269,23693205,305,180599101,2844080,36.66174208,134366
DF 127x1096,Arch,Single,29,127,1096,139192,13933304789,25425739,316,187085647,2946231,36.66174206,139192
DF 127x1134,Arch,Single,30,127,1134,144018,15433400934,27219402,327,193572194,3048381,36.66174214,144018
DF 127x1172,Arch,Single,31,127,1172,148844,17037478075,29074195,338,200058740,3150531,36.66174212,148844
DF 127x1210,Arch,Single,32,127,1210,153670,18749020583,30990117,349,206545286,3252682,36.66174211,153670
DF 127x1248,Arch,Single,33,127,1248,158496,20571512832,32967168,360,213031832,3354832,36.66174209,158496
DF 127x1286,Arch,Single,34,127,1286,163322,22508439193,35005349,371,219518378,3456982,36.66174208,163322
DF 127x1324,Arch,Single,35,127,1324,168148,24563284037,37104659,382,226004924,3559133,36.66174207,168148
DF 127x1362,Arch,Single,36,127,1362,172974,26739531738,39265098,393,232491471,3661283,36.66174213,172974
DF 127x1400,Arch,Single,37,127,1400,177800,29040666667,41486667,404,238978017,3763433,36.66174212,177800
DF 127x1438,Arch,Single,38,127,1438,182626,31470173195,43769365,415,245464563,3865584,36.66174211,182626
DF 127x1476,Arch,Single,39,127,1476,187452,34031535696,46113192,426,251951109,3967734,36.66174209,187452
DF 127x1514,Arch,Single,40,127,1514,192278,36728238541,48518149,437,258437655,4069884,36.66174208,192278
DF 127x1552,Arch,Single,41,127,1552,197104,39563766101,50984235,448,264924201,4172035,36.66174207,197104
DF 172x184,Arch,Single,5,172,184,31648,89289557,970539,53,78022869,907243,49.65212304,31648
DF 172x222,Arch,Single,6,172,222,38184,156821688,1412808,64,94136288,1094608,49.65212315,38184
DF 172x260,Arch,Single,7,172,260,44720,251922667,1937867,75,110249707,1281973,49.65212323,44720
DF 172x298,Arch,Single,8,172,298,51256,379311485,2545715,86,126363125,1469339,49.65212308,51256
DF 172x336,Arch,Single,9,172,336,57792,543707136,3236352,97,142476544,1656704,49.65212315,57792
DF 172x374,Arch,Single,10,172,374,64328,749828611,4009779,108,158589963,1844069,49.6521232,64328
DF 172x412,Arch,Single,11,172,412,70864,1002394901,4865995,119,174703381,2031435,49.6521231,70864
DF 172x450,Arch,Single,12,172,450,77400,1306125000,5805000,130,190816800,2218800,49.65212315,77400
DF 172x488,Arch,Single,13,172,488,83936,1665737899,6826795,141,206930219,2406165,49.65212319,83936
DF 172x526,Arch,Single,14,172,526,90472,2085952589,7931379,152,223043637,2593531,49.65212311,90472
DF 172x564,Arch,Single,15,172,564,97008,2571488064,9118752,163,239157056,2780896,49.65212315,97008
DF 172x602,Arch,Single,16,172,602,103544,3127063315,10388915,174,255270475,2968261,49.65212318,103544
DF 172x640,Arch,Single,17,172,640,110080,3757397333,11741867,185,271383893,3155627,49.65212312,110080
DF 172x678,Arch,Single,18,172,678,116616,4467209112,13177608,196,287497312,3342992,49.65212315,116616
DF 172x716,Arch,Single,19,172,716,123152,5261217643,14696139,207,303610731,3530357,49.65212318,123152
DF 172x754,Arch,Single,20,172,754,129688,6144141917,16297459,218,319724149,3717723,49.65212312,129688
DF 172x792,Arch,Single,21,172,792,136224,7120700928,17981568,229,335837568,3905088,49.65212315,136224
DF 172x830,Arch,Single,22,172,830,142760,8195613667,19748467,240,351950987,4092453,49.65212317,142760
DF 172x868,Arch,Single,23,172,868,149296,9373599125,21598155,251,368064405,4279819,49.65212313,149296
DF 172x906,Arch,Single,24,172,906,155832,10659376296,23530632,262,384177824,4467184,49.65212315,155832
DF 172x944,Arch,Single,25,172,944,162368,12057664171,25545899,273,400291243,4654549,49.65212317,162368
DF 172x982,Arch,Single,26,172,982,168904,13573181741,27643955,283,416404661,4841915,49.65212313,168904
DF 172x1020,Arch,Single,27,172,1020,175440,15210648000,29824800,294,432518080,5029280,49.65212315,175440
