Name,Finish,Lam,N Lams,b,d,A,Ix,Sx,rx,Iy,Sy,ry,Volume 
DF 175x722,Industrial,Single,19,175,722,126350,5488686117,15204117,208,322455729,3685208,50.51814854,126350
DF 175x760,Industrial,Single,20,175,760,133000,6401733333,16846667,219,339427083,3879167,50.51814853,133000
DF 175x798,Industrial,Single,21,175,798,139650,7410806550,18573450,230,356398438,4073125,50.51814859,139650
DF 175x836,Industrial,Single,22,175,836,146300,8520707067,20384467,241,373369792,4267083,50.51814858,146300
DF 175x874,Industrial,Single,23,175,874,152950,9736236183,22279717,252,390341146,4461042,50.51814856,152950
DF 175x912,Industrial,Single,24,175,912,159600,11062195200,24259200,263,407312500,4655000,50.51814855,159600
DF 175x950,Industrial,Single,25,175,950,166250,12503385417,26322917,274,424283854,4848958,50.51814854,166250
DF 175x988,Industrial,Single,26,175,988,172900,14064608133,28470867,285,441255208,5042917,50.51814854,172900
DF 175x1026,Industrial,Single,27,175,1026,179550,15750664650,30703050,296,458226563,5236875,50.51814858,179550
DF 175x1064,Industrial,Single,28,175,1064,186200,17566356267,33019467,307,475197917,5430833,50.51814857,186200
DF 175x1102,Industrial,Single,29,175,1102,192850,19516484283,35420117,318,492169271,5624792,50.51814856,192850
DF 175x1140,Industrial,Single,30,175,1140,199500,21605850000,37905000,329,509140625,5818750,50.51814855,199500
DF 175x1178,Industrial,Single,31,175,1178,206150,23839254717,40474117,340,526111979,6012708,50.51814855,206150
DF 175x1216,Industrial,Single,32,175,1216,212800,26221499733,43127467,351,543083333,6206667,50.51814854,212800
DF 175x1254,Industrial,Single,33,175,1254,219450,28757386350,45865050,362,560054688,6400625,50.51814858,219450
DF 175x1292,Industrial,Single,34,175,1292,226100,31451715867,48686867,373,577026042,6594583,50.51814857,226100
DF 175x1330,Industrial,Single,35,175,1330,232750,34309289583,51592917,384,593997396,6788542,50.51814856,232750
DF 175x1368,Industrial,Single,36,175,1368,239400,37334908800,54583200,395,610968750,6982500,50.51814855,239400
DF 175x1406,Industrial,Single,37,175,1406,246050,40533374817,57657717,406,627940104,7176458,50.51814855,246050
DF 175x1444,Industrial,Single,38,175,1444,252700,43909488933,60816467,417,644911458,7370417,50.51814854,252700
DF 175x1482,Industrial,Single,39,175,1482,259350,47468052450,64059450,428,661882813,7564375,50.51814857,259350
DF 175x1520,Industrial,Single,40,175,1520,266000,51213866667,67386667,439,678854167,7758333,50.51814857,266000
DF 175x1558,Industrial,Single,41,175,1558,272650,55151732883,70798117,450,695825521,7952292,50.51814856,272650
DF 225x266,Industrial,Single,7,225,266,59850,352895550,2653350,77,252492188,2244375,64.95190535,59850
DF 225x304,Industrial,Single,8,225,304,68400,526771200,3465600,88,288562500,2565000,64.95190528,68400
DF 225x342,Industrial,Single,9,225,342,76950,750031650,4386150,99,324632813,2885625,64.95190533,76950
DF 225x380,Industrial,Single,10,225,380,85500,1028850000,5415000,110,360703125,3206250,64.95190528,85500
DF 225x418,Industrial,Single,11,225,418,94050,1369399350,6552150,121,396773438,3526875,64.95190532,94050
DF 225x456,Industrial,Single,12,225,456,102600,1777852800,7797600,132,432843750,3847500,64.95190528,102600
DF 225x494,Industrial,Single,13,225,494,111150,2260383450,9151350,143,468914063,4168125,64.95190532,111150
DF 225x532,Industrial,Single,14,225,532,119700,2823164400,10613400,154,504984375,4488750,64.95190528,119700
DF 225x570,Industrial,Single,15,225,570,128250,3472368750,12183750,165,541054688,4809375,64.95190531,128250
DF 225x608,Industrial,Single,16,225,608,136800,4214169600,13862400,176,577125000,5130000,64.95190528,136800
DF 225x646,Industrial,Single,17,225,646,145350,5054740050,15649350,186,613195313,5450625,64.95190531,145350
DF 225x684,Industrial,Single,18,225,684,153900,6000253200,17544600,197,649265625,5771250,64.95190528,153900
DF 225x722,Industrial,Single,19,225,722,162450,7056882150,19548150,208,685335938,6091875,64.95190531,162450
DF 225x760,Industrial,Single,20,225,760,171000,8230800000,21660000,219,721406250,6412500,64.95190528,171000
DF 225x798,Industrial,Single,21,225,798,179550,9528179850,23880150,230,757476563,6733125,64.95190531,179550
DF 225x836,Industrial,Single,22,225,836,188100,10955194800,26208600,241,793546875,7053750,64.95190528,188100
DF 225x874,Industrial,Single,23,225,874,196650,12518017950,28645350,252,829617188,7374375,64.9519053,196650
DF 225x912,Industrial,Single,24,225,912,205200,14222822400,31190400,263,865687500,7695000,64.95190528,205200
DF 225x950,Industrial,Single,25,225,950,213750,16075781250,33843750,274,901757813,8015625,64.9519053,213750
DF 225x988,Industrial,Single,26,225,988,222300,18083067600,36605400,285,937828125,8336250,64.95190528,222300
DF 225x1026,Industrial,Single,27,225,1026,230850,20250854550,39475350,296,973898438,8656875,64.9519053,230850
DF 225x1064,Industrial,Single,28,225,1064,239400,22585315200,42453600,307,1009968750,8977500,64.95190528,239400
DF 225x1102,Industrial,Single,29,225,1102,247950,25092622650,45540150,318,1046039063,9298125,64.9519053,247950
DF 225x1140,Industrial,Single,30,225,1140,256500,27778950000,48735000,329,1082109375,9618750,64.95190528,256500
DF 225x1178,Industrial,Single,31,225,1178,265050,30650470350,52038150,340,1118179688,9939375,64.9519053,265050
DF 225x1216,Industrial,Single,32,225,1216,273600,33713356800,55449600,351,1154250000,10260000,64.95190528,273600
DF 225x1254,Industrial,Single,33,225,1254,282150,36973782450,58969350,362,1190320313,10580625,64.9519053,282150
DF 225x1292,Industrial,Single,34,225,1292,290700,40437920400,62597400,373,1226390625,10901250,64.95190528,290700
DF 225x1330,Industrial,Single,35,225,1330,299250,44111943750,66333750,384,1262460938,11221875,64.9519053,299250
DF 225x1368,Industrial,Single,36,225,1368,307800,48002025600,70178400,395,1298531250,11542500,64.95190528,307800
DF 225x1406,Industrial,Single,37,225,1406,316350,52114339050,74131350,406,1334601563,11863125,64.9519053,316350
DF 225x1444,Industrial,Single,38,225,1444,324900,56455057200,78192600,417,1370671875,12183750,64.95190528,324900
DF 225x1482,Industrial,Single,39,225,1482,333450,61030353150,82362150,428,1406742188,12504375,64.9519053,333450
DF 225x1520,Industrial,Single,40,225,1520,342000,65846400000,86640000,439,1442812500,12825000,64.95190528,342000
DF 225x1558,Industrial,Single,41,225,1558,350550,70909370850,91026150,450,1478882813,13145625,64.95190529,350550
DF 276x304,Industrial,Single,8,276,304,83904,646172672,4251136,88,532622592,3859584,79.67433715,83904
DF 276x342,Industrial,Single,9,276,342,94392,920038824,5380344,99,599200416,4342032,79.67433715,94392
DF 276x380,Industrial,Single,10,276,380,104880,1262056000,6642400,110,665778240,4824480,79.67433715,104880
DF 276x418,Industrial,Single,11,276,418,115368,1679796536,8037304,121,732356064,5306928,79.67433715,115368
DF 276x456,Industrial,Single,12,276,456,125856,2180832768,9565056,132,798933888,5789376,79.67433715,125856
DF 276x494,Industrial,Single,13,276,494,136344,2772737032,11225656,143,865511712,6271824,79.67433715,136344
DF 276x532,Industrial,Single,14,276,532,146832,3463081664,13019104,154,932089536,6754272,79.67433715,146832
DF 276x570,Industrial,Single,15,276,570,157320,4259439000,14945400,165,998667360,7236720,79.67433715,157320
DF 276x608,Industrial,Single,16,276,608,167808,5169381376,17004544,176,1065245184,7719168,79.67433715,167808
DF 276x646,Industrial,Single,17,276,646,178296,6200481128,19196536,186,1131823008,8201616,79.67433715,178296
DF 276x684,Industrial,Single,18,276,684,188784,7360310592,21521376,197,1198400832,8684064,79.67433715,188784
DF 276x722,Industrial,Single,19,276,722,199272,8656442104,23979064,208,1264978656,9166512,79.67433715,199272
DF 276x760,Industrial,Single,20,276,760,209760,10096448000,26569600,219,1331556480,9648960,79.67433715,209760
DF 276x798,Industrial,Single,21,276,798,220248,11687900616,29292984,230,1398134304,10131408,79.67433715,220248
DF 276x836,Industrial,Single,22,276,836,230736,13438372288,32149216,241,1464712128,10613856,79.67433715,230736
DF 276x874,Industrial,Single,23,276,874,241224,15355435352,35138296,252,1531289952,11096304,79.67433715,241224
DF 276x912,Industrial,Single,24,276,912,251712,17446662144,38260224,263,1597867776,11578752,79.67433715,251712
DF 276x950,Industrial,Single,25,276,950,262200,19719625000,41515000,274,1664445600,12061200,79.67433715,262200
DF 276x988,Industrial,Single,26,276,988,272688,22181896256,44902624,285,1731023424,12543648,79.67433715,272688
DF 276x1026,Industrial,Single,27,276,1026,283176,24841048248,48423096,296,1797601248,13026096,79.67433715,283176
DF 276x1064,Industrial,Single,28,276,1064,293664,27704653312,52076416,307,1864179072,13508544,79.67433715,293664
DF 276x1102,Industrial,Single,29,276,1102,304152,30780283784,55862584,318,1930756896,13990992,79.67433715,304152
DF 276x1140,Industrial,Single,30,276,1140,314640,34075512000,59781600,329,1997334720,14473440,79.67433715,314640
DF 276x1178,Industrial,Single,31,276,1178,325128,37597910296,63833464,340,2063912544,14955888,79.67433715,325128
DF 276x1216,Industrial,Single,32,276,1216,335616,41355051008,68018176,351,2130490368,15438336,79.67433715,335616
DF 276x1254,Industrial,Single,33,276,1254,346104,45354506472,72335736,362,2197068192,15920784,79.67433715,346104
DF 276x1292,Industrial,Single,34,276,1292,356592,49603849024,76786144,373,2263646016,16403232,79.67433715,356592
DF 276x1330,Industrial,Single,35,276,1330,367080,54110651000,81369400,384,2330223840,16885680,79.67433715,367080
DF 276x1368,Industrial,Single,36,276,1368,377568,58882484736,86085504,395,2396801664,17368128,79.67433715,377568
DF 276x1406,Industrial,Single,37,276,1406,388056,63926922568,90934456,406,2463379488,17850576,79.67433715,388056
DF 276x1444,Industrial,Single,38,276,1444,398544,69251536832,95916256,417,2529957312,18333024,79.67433715,398544
DF 276x1482,Industrial,Single,39,276,1482,409032,74863899864,101030904,428,2596535136,18815472,79.67433715,409032
DF 276x1520,Industrial,Single,40,276,1520,419520,80771584000,106278400,439,2663112960,19297920,79.67433715,419520
DF 276x1558,Industrial,Single,41,276,1558,430008,86982161576,111658744,450,2729690784,19780368,79.67433715,430008
DF 216x260,Arch,Staggered,7,216,260,56160,316368000,2433600,75,218350080,2021760,62.35382907,56160
DF 216x298,Arch,Staggered,8,216,298,64368,476344656,3196944,86,250262784,2317248,62.35382907,64368
DF 216x336,Arch,Staggered,9,216,336,72576,682795008,4064256,97,282175488,2612736,62.35382907,72576
DF 216x374,Arch,Staggered,10,216,374,80784,941645232,5035536,108,314088192,2908224,62.35382907,80784
DF 216x412,Arch,Staggered,11,216,412,88992,1258821504,6110784,119,346000896,3203712,62.35382907,88992
DF 216x450,Arch,Staggered,12,216,450,97200,1640250000,7290000,130,377913600,3499200,62.35382907,97200
DF 216x488,Arch,Staggered,13,216,488,105408,2091856896,8573184,141,409826304,3794688,62.35382907,105408
DF 216x526,Arch,Staggered,14,216,526,113616,2619568368,9960336,152,441739008,4090176,62.35382907,113616
DF 216x564,Arch,Staggered,15,216,564,121824,3229310592,11451456,163,473651712,4385664,62.35382907,121824
DF 216x602,Arch,Staggered,16,216,602,130032,3927009744,13046544,174,505564416,4681152,62.35382907,130032
DF 216x640,Arch,Staggered,17,216,640,138240,4718592000,14745600,185,537477120,4976640,62.35382907,138240
DF 216x678,Arch,Staggered,18,216,678,146448,5609983536,16548624,196,569389824,5272128,62.35382907,146448
DF 216x716,Arch,Staggered,19,216,716,154656,6607110528,18455616,207,601302528,5567616,62.35382907,154656
DF 216x754,Arch,Staggered,20,216,754,162864,7715899152,20466576,218,633215232,5863104,62.35382907,162864
DF 216x792,Arch,Staggered,21,216,792,171072,8942275584,22581504,229,665127936,6158592,62.35382907,171072
DF 216x830,Arch,Staggered,22,216,830,179280,10292166000,24800400,240,697040640,6454080,62.35382907,179280
DF 216x868,Arch,Staggered,23,216,868,187488,11771496576,27123264,251,728953344,6749568,62.35382907,187488
DF 216x906,Arch,Staggered,24,216,906,195696,13386193488,29550096,262,760866048,7045056,62.35382907,195696
DF 216x944,Arch,Staggered,25,216,944,203904,15142182912,32080896,273,792778752,7340544,62.35382907,203904
DF 216x982,Arch,Staggered,26,216,982,212112,17045391024,34715664,283,824691456,7636032,62.35382907,212112
DF 216x1020,Arch,Staggered,27,216,1020,220320,19101744000,37454400,294,856604160,7931520,62.35382907,220320
DF 216x1058,Arch,Staggered,28,216,1058,228528,21317168016,40297104,305,888516864,8227008,62.35382907,228528
DF 216x1096,Arch,Staggered,29,216,1096,236736,23697589248,43243776,316,920429568,8522496,62.35382907,236736
DF 216x1134,Arch,Staggered,30,216,1134,244944,26248933872,46294416,327,952342272,8817984,62.35382907,244944
DF 216x1172,Arch,Staggered,31,216,1172,253152,28977128064,49449024,338,984254976,9113472,62.35382907,253152
DF 216x1210,Arch,Staggered,32,216,1210,261360,31888098000,52707600,349,1016167680,9408960,62.35382907,261360
DF 216x1248,Arch,Staggered,33,216,1248,269568,34987769856,56070144,360,1048080384,9704448,62.35382907,269568
DF 216x1286,Arch,Staggered,34,216,1286,277776,38282069808,59536656,371,1079993088,9999936,62.35382907,277776
DF 216x1324,Arch,Staggered,35,216,1324,285984,41776924032,63107136,382,1111905792,10295424,62.35382907,285984
DF 216x1362,Arch,Staggered,36,216,1362,294192,45478258704,66781584,393,1143818496,10590912,62.35382907,294192
DF 216x1400,Arch,Staggered,37,216,1400,302400,49392000000,70560000,404,1175731200,10886400,62.35382907,302400
DF 216x1438,Arch,Staggered,38,216,1438,310608,53524074096,74442384,415,1207643904,11181888,62.35382907,310608
DF 216x1476,Arch,Staggered,39,216,1476,318816,57880407168,78428736,426,1239556608,11477376,62.35382907,318816
DF 216x1514,Arch,Staggered,40,216,1514,327024,62466925392,82519056,437,1271469312,11772864,62.35382907,327024
DF 216x1552,Arch,Staggered,41,216,1552,335232,67289554944,86713344,448,1303382016,12068352,62.35382907,335232
DF 260x298,Arch,Staggered,8,260,298,77480,573377827,3848173,86,436470667,3357467,75.05553502,77480
DF 260x336,Arch,Staggered,9,260,336,87360,821882880,4892160,97,492128000,3785600,75.05553499,87360
DF 260x374,Arch,Staggered,10,260,374,97240,1133461853,6061293,108,547785333,4213733,75.05553497,97240
DF 260x412,Arch,Staggered,11,260,412,107120,1515248107,7355573,119,603442667,4641867,75.05553502,107120
DF 260x450,Arch,Staggered,12,260,450,117000,1974375000,8775000,130,659100000,5070000,75.05553499,117000
DF 260x488,Arch,Staggered,13,260,488,126880,2517975893,10319573,141,714757333,5498133,75.05553498,126880
DF 260x526,Arch,Staggered,14,260,526,136760,3153184147,11989293,152,770414667,5926267,75.05553501,136760
DF 260x564,Arch,Staggered,15,260,564,146640,3887133120,13784160,163,826072000,6354400,75.05553499,146640
DF 260x602,Arch,Staggered,16,260,602,156520,4726956173,15704173,174,881729333,6782533,75.05553498,156520
DF 260x640,Arch,Staggered,17,260,640,166400,5679786667,17749333,185,937386667,7210667,75.05553501,166400
DF 260x678,Arch,Staggered,18,260,678,176280,6752757960,19919640,196,993044000,7638800,75.05553499,176280
DF 260x716,Arch,Staggered,19,260,716,186160,7953003413,22215093,207,1048701333,8066933,75.05553498,186160
DF 260x754,Arch,Staggered,20,260,754,196040,9287656387,24635693,218,1104358667,8495067,75.05553501,196040
DF 260x792,Arch,Staggered,21,260,792,205920,10763850240,27181440,229,1160016000,8923200,75.05553499,205920
DF 260x830,Arch,Staggered,22,260,830,215800,12388718333,29852333,240,1215673333,9351333,75.05553498,215800
DF 260x868,Arch,Staggered,23,260,868,225680,14169394027,32648373,251,1271330667,9779467,75.055535,225680
DF 260x906,Arch,Staggered,24,260,906,235560,16113010680,35569560,262,1326988000,10207600,75.05553499,235560
DF 260x944,Arch,Staggered,25,260,944,245440,18226701653,38615893,273,1382645333,10635733,75.05553499,245440
DF 260x982,Arch,Staggered,26,260,982,255320,20517600307,41787373,283,1438302667,11063867,75.055535,255320
DF 260x1020,Arch,Staggered,27,260,1020,265200,22992840000,45084000,294,1493960000,11492000,75.05553499,265200
DF 260x1058,Arch,Staggered,28,260,1058,275080,25659554093,48505773,305,1549617333,11920133,75.05553499,275080
DF 260x1096,Arch,Staggered,29,260,1096,284960,28524875947,52052693,316,1605274667,12348267,75.055535,284960
DF 260x1134,Arch,Staggered,30,260,1134,294840,31595938920,55724760,327,1660932000,12776400,75.05553499,294840
DF 260x1172,Arch,Staggered,31,260,1172,304720,34879876373,59521973,338,1716589333,13204533,75.05553499,304720
DF 260x1210,Arch,Staggered,32,260,1210,314600,38383821667,63444333,349,1772246667,13632667,75.055535,314600
DF 260x1248,Arch,Staggered,33,260,1248,324480,42114908160,67491840,360,1827904000,14060800,75.05553499,324480
DF 260x1286,Arch,Staggered,34,260,1286,334360,46080269213,71664493,371,1883561333,14488933,75.05553499,334360
DF 260x1324,Arch,Staggered,35,260,1324,344240,50287038187,75962293,382,1939218667,14917067,75.055535,344240
DF 260x1362,Arch,Staggered,36,260,1362,354120,54742348440,80385240,393,1994876000,15345200,75.05553499,354120
DF 260x1400,Arch,Staggered,37,260,1400,364000,59453333333,84933333,404,2050533333,15773333,75.05553499,364000
DF 260x1438,Arch,Staggered,38,260,1438,373880,64427126227,89606573,415,2106190667,16201467,75.055535,373880
DF 260x1476,Arch,Staggered,39,260,1476,383760,69670860480,94404960,426,2161848000,16629600,75.05553499,383760
DF 260x1514,Arch,Staggered,40,260,1514,393640,75191669453,99328493,437,2217505333,17057733,75.05553499,393640
DF 260x1552,Arch,Staggered,41,260,1552,403520,80996686507,104377173,448,2273162667,17485867,75.055535,403520
DF 311x336,Arch,Staggered,9,311,336,104496,983098368,5851776,97,842246468,5416376,89.77796686,104496
DF 311x374,Arch,Staggered,10,311,374,116314,1355794755,7250239,108,937500533,6028942,89.77796687,116314
DF 311x412,Arch,Staggered,11,311,412,128132,1812469851,8798397,119,1032754598,6641509,89.77796687,128132
DF 311x450,Arch,Staggered,12,311,450,139950,2361656250,10496250,130,1128008663,7254075,89.77796688,139950
DF 311x488,Arch,Staggered,13,311,488,151768,3011886549,12343797,141,1223262727,7866641,89.77796685,151768
DF 311x526,Arch,Staggered,14,311,526,163586,3771693345,14341039,152,1318516792,8479208,89.77796685,163586
DF 311x564,Arch,Staggered,15,311,564,175404,4649609232,16487976,163,1413770857,9091774,89.77796686,175404
DF 311x602,Arch,Staggered,16,311,602,187222,5654166807,18784607,174,1509024922,9704340,89.77796686,187222
DF 311x640,Arch,Staggered,17,311,640,199040,6793898667,21230933,185,1604278987,10316907,89.77796687,199040
DF 311x678,Arch,Staggered,18,311,678,210858,8077337406,23826954,196,1699533052,10929473,89.77796687,210858
DF 311x716,Arch,Staggered,19,311,716,222676,9513015621,26572669,207,1794787116,11542039,89.77796685,222676
DF 311x754,Arch,Staggered,20,311,754,234494,11109465909,29468079,218,1890041181,12154606,89.77796686,234494
DF 311x792,Arch,Staggered,21,311,792,246312,12875220864,32513184,229,1985295246,12767172,89.77796686,246312
DF 311x830,Arch,Staggered,22,311,830,258130,14818813083,35707983,240,2080549311,13379738,89.77796686,258130
DF 311x868,Arch,Staggered,23,311,868,269948,16948775163,39052477,251,2175803376,13992305,89.77796687,269948
DF 311x906,Arch,Staggered,24,311,906,281766,19273639698,42546666,262,2271057441,14604871,89.77796687,281766
DF 311x944,Arch,Staggered,25,311,944,293584,21801939285,46190549,273,2366311505,15217437,89.77796685,293584
DF 311x982,Arch,Staggered,26,311,982,305402,24542206521,49984127,283,2461565570,15830004,89.77796686,305402
DF 311x1020,Arch,Staggered,27,311,1020,317220,27502974000,53927400,294,2556819635,16442570,89.77796686,317220
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 311x1058,Arch,Staggered,28,311,1058,329038,30692774319,58020367,305,2652073700,17055136,89.77796686,329038
DF 362x374,Arch,Staggered,10,362,374,135388,1578127657,8439185,108,1478482089,8168409,104.5003987,135388
DF 362x412,Arch,Staggered,11,362,412,149144,2109691595,10241221,119,1628702195,8998355,104.5003987,149144
DF 362x450,Arch,Staggered,12,362,450,162900,2748937500,12217500,130,1778922300,9828300,104.5003987,162900
DF 362x488,Arch,Staggered,13,362,488,176656,3505797205,14368021,141,1929142405,10658245,104.5003987,176656
DF 362x526,Arch,Staggered,14,362,526,190412,4390202543,16692785,152,2079362511,11488191,104.5003987,190412
DF 362x564,Arch,Staggered,15,362,564,204168,5412085344,19191792,163,2229582616,12318136,104.5003987,204168
DF 362x602,Arch,Staggered,16,362,602,217924,6581377441,21865041,174,2379802721,13148081,104.5003987,217924
DF 362x640,Arch,Staggered,17,362,640,231680,7908010667,24712533,185,2530022827,13978027,104.5003987,231680
DF 362x678,Arch,Staggered,18,362,678,245436,9401916852,27734268,196,2680242932,14807972,104.5003987,245436
DF 362x716,Arch,Staggered,19,362,716,259192,11073027829,30930245,207,2830463037,15637917,104.5003987,259192
DF 362x754,Arch,Staggered,20,362,754,272948,12931275431,34300465,218,2980683143,16467863,104.5003987,272948
DF 362x792,Arch,Staggered,21,362,792,286704,14986591488,37844928,229,3130903248,17297808,104.5003987,286704
DF 362x830,Arch,Staggered,22,362,830,300460,17248907833,41563633,240,3281123353,18127753,104.5003987,300460
DF 362x868,Arch,Staggered,23,362,868,314216,19728156299,45456581,251,3431343459,18957699,104.5003987,314216
DF 362x906,Arch,Staggered,24,362,906,327972,22434268716,49523772,262,3581563564,19787644,104.5003987,327972
DF 362x944,Arch,Staggered,25,362,944,341728,25377176917,53765205,273,3731783669,20617589,104.5003987,341728
DF 362x982,Arch,Staggered,26,362,982,355484,28566812735,58180881,283,3882003775,21447535,104.5003987,355484
DF 362x1020,Arch,Staggered,27,362,1020,369240,32013108000,62770800,294,4032223880,22277480,104.5003987,369240
DF 362x1058,Arch,Staggered,28,362,1058,382996,35725994545,67534961,305,4182443985,23107425,104.5003987,382996
DF 362x1096,Arch,Staggered,29,362,1096,396752,39715404203,72473365,316,4332664091,23937371,104.5003987,396752
DF 362x1134,Arch,Staggered,30,362,1134,410508,43991268804,77586012,327,4482884196,24767316,104.5003987,410508
DF 362x1172,Arch,Staggered,31,362,1172,424264,48563520181,82872901,338,4633104301,25597261,104.5003987,424264
DF 362x1210,Arch,Staggered,32,362,1210,438020,53442090167,88334033,349,4783324407,26427207,104.5003987,438020
DF 362x1248,Arch,Staggered,33,362,1248,451776,58636910592,93969408,360,4933544512,27257152,104.5003987,451776
DF 362x1286,Arch,Staggered,34,362,1286,465532,64157913289,99779025,371,5083764617,28087097,104.5003987,465532
DF 362x1324,Arch,Staggered,35,362,1324,479288,70015030091,105762885,382,5233984723,28917043,104.5003987,479288
DF 362x1362,Arch,Staggered,36,362,1362,493044,76218192828,111920988,393,5384204828,29746988,104.5003987,493044
DF 362x1400,Arch,Staggered,37,362,1400,506800,82777333333,118253333,404,5534424933,30576933,104.5003987,506800
DF 362x1438,Arch,Staggered,38,362,1438,520556,89702383439,124759921,415,5684645039,31406879,104.5003987,520556
DF 362x1476,Arch,Staggered,39,362,1476,534312,97003274976,131440752,426,5834865144,32236824,104.5003987,534312
DF 362x1514,Arch,Staggered,40,362,1514,548068,1.05E+11,138295825,437,5985085249,33066769,104.5003987,548068
DF 362x1552,Arch,Staggered,41,362,1552,561824,1.13E+11,145325141,448,6135305355,33896715,104.5003987,561824
DF 403x412,Arch,Staggered,11,403,412,166036,2348634565,11401139,119,2247145060,11152085,116.3360792,166036
DF 403x450,Arch,Staggered,12,403,450,181350,3060281250,13601250,130,2454406013,12180675,116.3360793,181350
DF 403x488,Arch,Staggered,13,403,488,196664,3902862635,15995339,141,2661666965,13209265,116.3360792,196664
DF 403x526,Arch,Staggered,14,403,526,211978,4887435427,18583405,152,2868927917,14237856,116.3360792,211978
DF 403x564,Arch,Staggered,15,403,564,227292,6025056336,21365448,163,3076188869,15266446,116.3360792,227292
DF 403x602,Arch,Staggered,16,403,602,242606,7326782069,24341469,174,3283449821,16295036,116.3360792,242606
DF 403x640,Arch,Staggered,17,403,640,257920,8803669333,27511467,185,3490710773,17323627,116.3360792,257920
DF 403x678,Arch,Staggered,18,403,678,273234,10466774838,30875442,196,3697971726,18352217,116.3360792,273234
DF 403x716,Arch,Staggered,19,403,716,288548,12327155291,34433395,207,3905232678,19380807,116.3360792,288548
DF 403x754,Arch,Staggered,20,403,754,303862,14395867399,38185325,218,4112493630,20409398,116.3360792,303862
DF 403x792,Arch,Staggered,21,403,792,319176,16683967872,42131232,229,4319754582,21437988,116.3360792,319176
DF 403x830,Arch,Staggered,22,403,830,334490,19202513417,46271117,240,4527015534,22466578,116.3360792,334490
DF 403x868,Arch,Staggered,23,403,868,349804,21962560741,50604979,251,4734276486,23495169,116.3360792,349804
DF 403x906,Arch,Staggered,24,403,906,365118,24975166554,55132818,262,4941537439,24523759,116.3360792,365118
DF 403x944,Arch,Staggered,25,403,944,380432,28251387563,59854635,273,5148798391,25552349,116.3360792,380432
DF 403x982,Arch,Staggered,26,403,982,395746,31802280475,64770429,283,5356059343,26580940,116.3360792,395746
DF 403x1020,Arch,Staggered,27,403,1020,411060,35638902000,69880200,294,5563320295,27609530,116.3360792,411060
DF 403x1058,Arch,Staggered,28,403,1058,426374,39772308845,75183949,305,5770581247,28638120,116.3360792,426374
DF 403x1096,Arch,Staggered,29,403,1096,441688,44213557717,80681675,316,5977842199,29666711,116.3360792,441688
DF 403x1134,Arch,Staggered,30,403,1134,457002,48973705326,86373378,327,6185103152,30695301,116.3360792,457002
DF 403x1172,Arch,Staggered,31,403,1172,472316,54063808379,92259059,338,6392364104,31723891,116.3360792,472316
DF 403x1210,Arch,Staggered,32,403,1210,487630,59494923583,98338717,349,6599625056,32752482,116.3360792,487630
DF 403x1248,Arch,Staggered,33,403,1248,502944,65278107648,104612352,360,6806886008,33781072,116.3360792,502944
DF 403x1286,Arch,Staggered,34,403,1286,518258,71424417281,111079965,371,7014146960,34809662,116.3360792,518258
DF 403x1324,Arch,Staggered,35,403,1324,533572,77944909189,117741555,382,7221407912,35838253,116.3360792,533572
DF 403x1362,Arch,Staggered,36,403,1362,548886,84850640082,124597122,393,7428668865,36866843,116.3360792,548886
DF 403x1400,Arch,Staggered,37,403,1400,564200,92152666667,131646667,404,7635929817,37895433,116.3360792,564200
DF 403x1438,Arch,Staggered,38,403,1438,579514,99862045651,138890189,415,7843190769,38924024,116.3360792,579514
DF 403x1476,Arch,Staggered,39,403,1476,594828,1.08E+11,146327688,426,8050451721,39952614,116.3360792,594828
DF 403x1514,Arch,Staggered,40,403,1514,610142,1.17E+11,153959165,437,8257712673,40981204,116.3360792,610142
DF 403x1552,Arch,Staggered,41,403,1552,625456,1.26E+11,161784619,448,8464973625,42009795,116.3360792,625456
