Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS152.4X152.4X9.5,HSS152.4X152.4X9.5,40.8,4890,152,126,,152,126,9.53,8.86,14.2,14.2,,16.4,259,216,57.9,16.4,259,216,57.9,26900,362
HSS,HSS152.4X152.4X7.9,HSS152.4X152.4X7.9,34.6,4150,152,130,,152,130,7.94,7.39,17.6,17.6,,14.3,223,187,58.7,14.3,223,187,58.7,23100,310
HSS,HSS152.4X152.4X6.4,HSS152.4X152.4X6.4,28.3,3380,152,135,,152,135,6.35,5.92,22.8,22.8,,11.9,184,156,59.4,11.9,184,156,59.4,19000,252
HSS,HSS152.4X152.4X4.8,HSS152.4X152.4X4.8,21.6,2570,152,139,,152,139,4.76,4.42,31.5,31.5,,9.28,141,122,60.2,9.28,141,122,60.2,14600,193
HSS,HSS152.4X152.4X3.2,HSS152.4X152.4X3.2,14.7,1740,152,144,,152,144,3.18,2.95,48.7,48.7,,6.45,97,84.4,60.7,6.45,97,84.4,60.7,9950,132
HSS,HSS152.4X127X12.7,HSS152.4X127X12.7,47.2,5680,152,117,,127,91.4,12.7,11.8,7.75,9.9,,17.1,282,225,54.9,12.8,249,202,47.5,24900,377
HSS,HSS152.4X127X9.5,HSS152.4X127X9.5,37,4440,152,126,,127,100,9.53,8.86,11.3,14.2,,14.1,226,185,56.4,10.6,200,167,48.8,20000,298
HSS,HSS152.4X127X7.9,HSS152.4X127X7.9,31.5,3770,152,130,,127,105,7.94,7.39,14.2,17.6,,12.3,195,161,57.2,9.28,172,146,49.5,17200,256
HSS,HSS152.4X127X6.4,HSS152.4X127X6.4,25.7,3080,152,135,,127,109,6.35,5.92,18.5,22.8,,10.3,162,135,57.9,7.78,143,122,50.3,14200,210
HSS,HSS152.4X127X4.8,HSS152.4X127X4.8,19.7,2340,152,139,,127,114,4.76,4.42,25.7,31.5,,8.03,125,106,58.7,6.08,110,95.7,51.1,10900,160
HSS,HSS152.4X127X3.2,HSS152.4X127X3.2,13.4,1590,152,144,,127,118,3.18,2.95,40.1,48.7,,5.58,85.9,73.4,59.4,4.25,75.9,66.7,51.6,7490,109
HSS,HSS152.4X101.6X12.7,HSS152.4X101.6X12.7,42.1,5080,152,117,,102,66,12.7,11.8,5.6,9.9,,14.2,239,185,52.8,7.41,180,146,38.1,16800,292
HSS,HSS152.4X101.6X9.5,HSS152.4X101.6X9.5,33.2,3990,152,126,,102,74.9,9.53,8.86,8.46,14.2,,11.8,195,155,54.4,6.2,147,122,39.4,13700,233
HSS,HSS152.4X101.6X7.9,HSS152.4X101.6X7.9,28.4,3390,152,130,,102,79.5,7.94,7.39,10.7,17.6,,10.3,169,136,55.1,5.49,127,108,40.1,11800,200
HSS,HSS152.4X101.6X6.4,HSS152.4X101.6X6.4,23.2,2770,152,135,,102,83.8,6.35,5.92,14.2,22.8,,8.7,140,114,55.9,4.62,106,91.1,40.9,9820,166
HSS,HSS152.4X101.6X4.8,HSS152.4X101.6X4.8,17.8,2120,152,139,,102,88.4,4.76,4.42,20,31.5,,6.83,108,89.5,56.6,3.65,81.9,71.8,41.4,7580,127
HSS,HSS152.4X101.6X3.2,HSS152.4X101.6X3.2,12.1,1440,152,144,,102,92.7,3.18,2.95,31.5,48.7,,4.75,74.7,62.4,57.4,2.56,56.7,50.5,42.2,5240,86.9
HSS,HSS152.4X76.2X12.7,HSS152.4X76.2X12.7,37.1,4480,152,117,,76.2,40.6,12.7,11.8,3.45,9.9,,11.2,198,147,50,3.62,119,94.9,28.4,9610,208
HSS,HSS152.4X76.2X9.5,HSS152.4X76.2X9.5,29.4,3540,152,126,,76.2,49.5,9.53,8.86,5.6,14.2,,9.45,162,124,51.8,3.11,98.8,81.8,29.7,8030,169
HSS,HSS152.4X76.2X7.9,HSS152.4X76.2X7.9,25.2,3020,152,130,,76.2,54.1,7.94,7.39,7.31,17.6,,8.37,141,110,52.6,2.78,86.4,72.9,30.2,7030,146
HSS,HSS152.4X76.2X6.4,HSS152.4X76.2X6.4,20.7,2480,152,135,,76.2,58.4,6.35,5.92,9.88,22.8,,7.08,118,92.8,53.3,2.37,72.3,62.3,31,5910,121
HSS,HSS152.4X76.2X4.8,HSS152.4X76.2X4.8,15.9,1890,152,139,,76.2,63,4.76,4.42,14.2,31.5,,5.58,91.6,73.3,54.4,1.89,56.5,49.7,31.8,4620,93.6
HSS,HSS152.4X76.2X3.2,HSS152.4X76.2X3.2,10.9,1290,152,144,,76.2,67.3,3.18,2.95,22.9,48.7,,3.93,63.4,51.5,55.1,1.34,39.3,35.2,32.3,3220,64.4
HSS,HSS152.4X50.8X9.5,HSS152.4X50.8X9.5,25.6,3080,152,126,,50.8,24.2,9.53,8.86,2.73,14.2,,7.12,130,93.6,48,1.15,56.7,45.4,19.3,3500,104
HSS,HSS152.4X50.8X7.9,HSS152.4X50.8X7.9,22,2650,152,130,,50.8,28.7,7.94,7.39,3.87,17.6,,6.37,114,83.7,49,1.05,50.3,41.3,19.9,3160,91.4
HSS,HSS152.4X50.8X6.4,HSS152.4X50.8X6.4,18.1,2170,152,135,,50.8,33,6.35,5.92,5.58,22.8,,5.45,95.7,71.6,50,0.92,42.8,36.2,20.6,2730,77
HSS,HSS152.4X50.8X4.8,HSS152.4X50.8X4.8,14,1660,152,139,,50.8,37.6,4.76,4.42,8.49,31.5,,4.37,75.1,57.2,51.1,0.749,33.9,29.5,21.2,2180,60.3
HSS,HSS152.4X50.8X3.2,HSS152.4X50.8X3.2,9.59,1140,152,144,,50.8,41.9,3.18,2.95,14.2,48.7,,3.09,52.3,40.5,52.1,0.545,23.9,21.5,21.9,1550,42.1
