Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Ix,Zx,Zx,Sx,Sx,rx,Iy,Iy,Zy,Zy,Sy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
L,L203X152X15.9,L203X152X15.9,42.2,5430,152,,,,,,,,203,,,,,,,15.9,,,28.7,28.6,,38.4,63.5,,13.4,32.3,,12.8,,,,,22.6,22600000,293,293000,162,162000,64.5,11,11000000,172,172000,96.4,96400,45,5870000,32.8,80500,466000,1160000000,,,,,,,,101,,0.554,27.7,104,36.8,137,72.9,64.3,41.1,267000,752000,202000,80500,91300,143000,,,559,508,711,,,,,
L,L203X152X14.3,L203X152X14.3,38.1,4910,152,,,,,,,,203,,,,,,,14.3,,,26.9,27,,37.8,63,,12.1,31.5,,14.2,,,,,20.6,20600000,265,265000,147,147000,64.8,10,10000000,156,156000,87.5,87500,45.2,5330000,33,72900,343000,859000000,,,,,,,,101,,0.556,25.3,104,36.6,137,72.9,63.8,41.1,243000,692000,184000,73100,83600,129000,,,559,508,711,,,,,
L,L203X152X12.7,L203X152X12.7,34.1,4390,152,,,,,,,,203,,,,,,,12.7,,,25.4,25.4,,37.1,62.5,,10.8,30.5,,16,,,,,18.5,18500000,239,239000,131,131000,64.8,9.03,9030000,140,140000,78.5,78500,45.5,4790000,33,65200,243000,612000000,,,,,,,,102,,0.557,22.7,105,36.6,138,73.4,62.7,41.7,216000,621000,166000,65200,76400,115000,,,559,508,711,,,,,
L,L203X152X11.1,L203X152X11.1,29.9,3860,152,,,,,,,,203,,,,,,,11.1,,,23.8,23.8,,36.6,61.7,,9.5,29.2,,18.3,,,,,16.4,16400000,211,211000,116,116000,65,8.03,8030000,123,123000,69.3,69300,45.7,4250000,33.3,57500,165000,416000000,,,,,,,,102,,0.559,20.1,106,36.1,139,73.7,62,41.9,190000,559000,145000,57700,68500,101000,,,559,508,711,,,,,
L,L203X102X25.4,L203X102X25.4,55.4,7160,102,,,,,,,,203,,,,,,,25.4,,,38.1,38.1,,26.4,77,,17.6,62.2,,8,,,,,29,29000000,398,398000,229,229000,63.8,4.83,4830000,127,127000,64.6,64600,26.2,3260000,21.4,57000,1530000,3460000000,,,,,,,,95.3,,0.247,30.6,80.5,68.3,126,57.7,44.2,16.9,380000,447000,243000,56500,73800,192000,,,508,406,610,,,,,
L,L203X102X22.2,L203X102X22.2,49.3,6320,102,,,,,,,,203,,,,,,,22.2,,,35.1,34.9,,25.3,75.9,,15.5,61.2,,9.14,,,,,26.1,26100000,356,356000,205,205000,64.3,4.37,4370000,111,111000,57.5,57500,26.4,2900000,21.5,50100,1040000,2390000000,,,,,,,,96,,0.252,27.5,81.5,67.6,127,58.2,43.2,17.3,338000,408000,216000,49800,67200,167000,,,508,406,610,,,,,
L,L203X102X19,L203X102X19,42.5,5480,102,,,,,,,,203,,,,,,,19.1,,,31.8,31.8,,24.1,74.7,,13.5,59.4,,10.7,,,,,22.9,22900000,310,310000,179,179000,64.8,3.9,3900000,95.4,95400,50.3,50300,26.7,2560000,21.6,43400,670000,1540000000,,,,,,,,96.5,,0.257,24.2,82.3,66.3,128,58.9,41.9,17.9,295000,365000,188000,43400,61000,143000,,,508,406,610,,,,,
L,L203X102X15.9,L203X102X15.9,36,4620,102,,,,,,,,203,,,,,,,15.9,,,28.7,28.6,,22.9,73.4,,11.4,57.7,,12.8,,,,,19.6,19600000,264,264000,151,151000,65,3.38,3380000,79.6,79600,42.9,42900,26.9,2180000,21.7,36700,398000,918000000,,,,,,,,97.3,,0.262,20.8,83.3,65.3,129,59.4,40.9,18.4,249000,318000,161000,36700,53300,118000,,,508,406,610,,,,,
L,L203X102X14.3,L203X102X14.3,32.4,4190,102,,,,,,,,203,,,,,,,14.3,,,26.9,27,,22.3,72.6,,10.3,56.6,,14.2,,,,,17.9,17900000,239,239000,137,137000,65.3,3.1,3100000,71.9,71900,39,39000,27.2,1990000,21.8,33300,293000,679000000,,,,,,,,97.5,,0.264,19,83.6,64.5,130,59.9,40.1,18.7,228000,295000,146000,33300,49700,106000,,,508,406,610,,,,,
L,L203X102X12.7,L203X102X12.7,29,3740,102,,,,,,,,203,,,,,,,12.7,,,25.4,25.4,,21.7,72.1,,9.22,55.9,,16,,,,,16.1,16100000,215,215000,123,123000,65.5,2.81,2810000,64.1,64100,35.2,35200,27.4,1800000,21.9,29800,209000,483000000,,,,,,,,98,,0.266,17.1,84.1,64,131,60.2,39.6,18.9,203000,267000,131000,29800,45400,95200,,,508,406,610,,,,,
L,L203X102X11.1,L203X102X11.1,25.6,3300,102,,,,,,,,203,,,,,,,11.1,,,23.8,23.8,,21.1,71.4,,8.1,54.9,,18.3,,,,,14.2,14200000,190,190000,108,108000,65.8,2.51,2510000,56,56000,31.1,31100,27.7,1600000,22,26400,142000,328000000,,,,,,,,98.3,,0.268,15.2,84.6,63.5,131,60.7,38.9,19.3,179000,239000,115000,26400,41100,83100,,,508,406,610,,,,,
L,L178X102X19,L178X102X19,38.8,4990,102,,,,,,,,178,,,,,,,19.1,,,31.8,31.8,,25.4,63.5,,14,46.7,,9.33,,,,,15.7,15700000,243,243000,137,137000,56.1,3.75,3750000,91.8,91800,49.3,49300,27.4,2340000,21.7,42100,612000,1070000000,,,,,,,,84.1,,0.324,17.1,74.9,52.6,114,55.9,43.7,20.1,229000,326000,151000,42000,53600,117000,,,457,381,559,,,,,
L,L178X102X15.9,L178X102X15.9,32.7,4190,102,,,,,,,,178,,,,,,,15.9,,,28.7,28.6,,24.3,62.2,,11.8,45.7,,11.2,,,,,13.5,13500000,205,205000,117,117000,56.6,3.24,3240000,76.9,76900,42,42000,27.9,2000000,21.8,35400,361000,636000000,,,,,,,,84.8,,0.329,14.7,75.7,51.6,115,56.4,42.7,20.5,195000,285000,128000,35600,46900,97500,,,457,381,559,,,,,
L,L178X102X12.7,L178X102X12.7,26.5,3390,102,,,,,,,,178,,,,,,,12.7,,,25.4,25.4,,23.1,61,,9.55,44.2,,14,,,,,11.1,11100000,167,167000,94.9,94900,57.2,2.7,2700000,61.8,61800,34.4,34400,28.2,1640000,22,28800,190000,336000000,,,,,,,,85.6,,0.334,12.1,76.7,50.5,116,57.2,41.1,21.2,158000,239000,104000,28700,39800,77400,,,457,381,559,,,,,
L,L178X102X11.1,L178X102X11.1,23.4,2990,102,,,,,,,,178,,,,,,,11.1,,,23.8,23.8,,22.5,60.5,,8.41,43.4,,16,,,,,9.82,9820000,148,148000,83.7,83700,57.4,2.41,2410000,54.2,54200,30.5,30500,28.4,1460000,22.1,25400,129000,229000000,,,,,,,,85.9,,0.337,10.8,77.2,50,117,57.4,40.6,21.5,140000,215000,92400,25400,35900,67900,,,457,381,559,,,,,
L,L178X102X9.5,L178X102X9.5,20.2,2580,102,,,,,,,,178,,,,,,,9.53,,,22.2,22.2,,21.9,59.7,,7.26,42.4,,18.7,,,,,8.53,8530000,128,128000,72.4,72400,57.7,2.11,2110000,46.5,46500,26.4,26400,28.4,1270000,22.2,22000,82400,146000000,,,,,,,,86.4,,0.339,9.37,77.7,49.5,117,57.9,39.9,21.8,120000,188000,79800,21800,31800,58000,,,457,381,559,,,,,
L,L152X152X25.4,L152X152X25.4,55.7,7100,152,,,,,,,,152,,,,,,,25.4,,,38.1,38.1,,47.2,47.2,,23.3,23.3,,6,,,,,14.7,14700000,252,252000,140,140000,45.5,14.7,14700000,252,252000,140,140000,45.5,6200000,29.7,93400,1530000,2480000000,,,,,,,,80.8,0.64,1,23.2,98.8,0,98.8,50,66.8,50,234000,,234000,124000,92900,124000,,,457,457,610,,,,,
L,L152X152X22.2,L152X152X22.2,49.3,6290,152,,,,,,,,152,,,,,,,22.2,,,35.1,34.9,,46,46,,20.7,20.7,,6.86,,,,,13.3,13300000,225,225000,125,125000,46,13.3,13300000,225,225000,125,125000,46,5540000,29.7,84900,1040000,1720000000,,,,,,,,81.5,0.63,1,21,100,0,100,50.5,65,50.5,210000,,210000,109000,85200,109000,,,457,457,610,,,,,
L,L152X152X19,L152X152X19,42.7,5460,152,,,,,,,,152,,,,,,,19.1,,,31.8,31.8,,45,45,,17.9,17.9,,8,,,,,11.7,11700000,195,195000,109,109000,46.2,11.7,11700000,195,195000,109,109000,46.2,4830000,29.7,75900,670000,1120000000,,,,,,,,82.3,0.63,1,18.6,101,0,101,50.8,63.5,50.8,184000,,184000,95100,76000,95100,,,457,457,610,,,,,
L,L152X152X15.9,L152X152X15.9,36,4600,152,,,,,,,,152,,,,,,,15.9,,,28.7,28.6,,43.7,43.7,,15.1,15.1,,9.6,,,,,10,10000000,166,166000,92.4,92400,46.7,10,10000000,166,166000,92.4,92400,46.7,4080000,29.7,66200,398000,671000000,,,,,,,,83.3,0.63,1,16,102,0,102,51.6,61.7,51.6,156000,,156000,79100,66200,79100,,,457,457,610,,,,,
L,L152X152X14.3,L152X152X14.3,32.6,4160,152,,,,,,,,152,,,,,,,14.3,,,26.9,27,,43.2,43.2,,13.7,13.7,,10.7,,,,,9.16,9160000,150,150000,83.9,83900,47,9.16,9160000,150,150000,83.9,83900,47,3700000,30,61100,293000,497000000,,,,,,,,83.6,0.63,1,14.6,103,0,103,51.8,61,51.8,142000,,142000,71400,60800,71500,,,457,457,610,,,,,
L,L152X152X12.7,L152X152X12.7,29.2,3720,152,,,,,,,,152,,,,,,,12.7,,,25.4,25.4,,42.4,42.4,,12.2,12.2,,12,,,,,8.28,8280000,135,135000,75.2,75200,47.2,8.28,8280000,135,135000,75.2,75200,47.2,3350000,30,55700,209000,354000000,,,,,,,,84.1,0.63,1,13.2,103,0,103,52.3,59.9,52.3,128000,,128000,64100,56100,64100,,,457,457,610,,,,,
L,L152X152X11.1,L152X152X11.1,25.6,3280,152,,,,,,,,152,,,,,,,11.1,,,23.8,23.8,,41.9,41.9,,10.7,10.7,,13.7,,,,,7.33,7330000,119,119000,66.5,66500,47.2,7.33,7330000,119,119000,66.5,66500,47.2,2930000,30,50000,142000,241000000,,,,,,,,84.3,0.63,1,11.7,104,0,104,52.3,59.2,52.3,113000,,113000,56100,49700,56000,,,457,457,610,,,,,
L,L152X152X9.5,L152X152X9.5,22.2,2830,152,,,,,,,,152,,,,,,,9.53,,,22.2,22.2,,41.1,41.1,,9.27,9.27,,16,,,,,6.41,6410000,103,103000,57.5,57500,47.5,6.41,6410000,103,103000,57.5,57500,47.5,2580000,30.2,44100,90700,154000000,,,,,,,,84.8,0.63,1,10.2,104,0,104,52.8,58.2,52.8,98200,,98200,49000,44400,49000,,,457,457,610,,,,,
L,L152X152X7.9,L152X152X7.9,18.5,2370,152,,,,,,,,152,,,,,,,7.94,,,20.7,20.6,,40.6,40.6,,7.77,7.77,,19.2,,,,,5.41,5410000,86.2,86200,48.3,48300,47.8,5.41,5410000,86.2,86200,48.3,48300,47.8,2160000,30.2,37700,53700,90800000,,,,,,,,85.1,0.63,1,8.66,105,0,105,53.1,57.4,53.1,82600,,82600,40800,37700,40800,,,457,457,610,,,,,
L,L152X102X22.2,L152X102X22.2,40.3,5160,102,,,,,,,,152,,,,,,,22.2,,,35.1,34.9,,28.4,53.8,,16.9,36.3,,6.86,,,,,11.5,11500000,208,208000,117,117000,47.2,4.04,4040000,103,103000,55.2,55200,27.9,2420000,21.7,47700,845000,1080000000,,,,,,,,71.6,,0.421,13.2,67.8,38.6,97.5,50.8,47.2,22.3,193000,341000,135000,47700,51300,109000,,,406,356,508,,,,,
L,L152X102X19,L152X102X19,35,4480,102,,,,,,,,152,,,,,,,19.1,,,31.8,31.8,,27.2,52.6,,14.7,34.8,,8,,,,,10.2,10200000,182,182000,102,102000,47.8,3.59,3590000,88.8,88800,48.3,48300,28.4,2110000,21.7,41100,545000,709000000,,,,,,,,72.4,,0.428,11.7,68.8,37.6,98.8,51.6,45.7,23,170000,311000,118000,41000,46200,91900,,,406,356,508,,,,,
L,L152X102X15.9,L152X102X15.9,29.6,3780,102,,,,,,,,152,,,,,,,15.9,,,28.7,28.6,,26.2,51.6,,12.4,33.3,,9.6,,,,,8.74,8740000,155,155000,86.7,86700,48,3.11,3110000,74.7,74700,41.3,41300,28.7,1800000,21.8,34700,323000,427000000,,,,,,,,73.2,,0.435,10.1,70.1,36.8,100,51.8,44.4,23.5,144000,274000,101000,34700,40500,76500,,,406,356,508,,,,,
L,L152X102X14.3,L152X102X14.3,26.9,3430,102,,,,,,,,152,,,,,,,14.3,,,26.9,27,,25.4,50.8,,11.3,32.5,,10.7,,,,,7.99,7990000,141,141000,78.8,78800,48.3,2.86,2860000,67.7,67700,37.5,37500,29,1640000,21.9,31500,238000,317000000,,,,,,,,73.7,,0.438,9.2,70.6,36.3,100,52.3,43.7,24.1,130000,254000,91600,31300,37400,68000,,,406,356,508,,,,,
L,L152X102X12.7,L152X102X12.7,24,3060,102,,,,,,,,152,,,,,,,12.7,,,25.4,25.4,,24.9,50.3,,10.1,31.8,,12,,,,,7.2,7200000,126,126000,70.6,70600,48.5,2.59,2590000,60.5,60500,33.8,33800,29,1470000,21.9,28200,169000,226000000,,,,,,,,73.9,,0.44,8.32,71.1,35.8,101,52.3,43.2,24.3,117000,233000,82600,28200,34100,60800,,,406,356,508,,,,,
L,L152X102X11.1,L152X102X11.1,21.2,2700,102,,,,,,,,152,,,,,,,11.1,,,23.8,23.8,,24.3,49.5,,8.84,31,,13.7,,,,,6.41,6410000,112,112000,62.4,62400,48.8,2.31,2310000,53.1,53100,30,30000,29.2,1310000,22,24700,115000,154000000,,,,,,,,74.4,,0.443,7.41,71.6,35.3,102,52.8,42.4,24.6,103000,210000,72900,24700,30800,53100,,,406,356,508,,,,,
L,L152X102X9.5,L152X102X9.5,18.2,2330,102,,,,,,,,152,,,,,,,9.53,,,22.2,22.2,,23.7,49,,7.65,30.2,,16,,,,,5.58,5580000,96.5,96500,54.1,54100,49,2.02,2020000,45.7,45700,25.9,25900,29.5,1140000,22.1,21500,73700,99100000,,,,,,,,74.7,,0.446,6.45,72.1,35.1,102,53.1,41.7,24.9,89500,184000,63300,21500,27200,45700,,,406,356,508,,,,,
L,L152X102X7.9,L152X102X7.9,15.3,1950,102,,,,,,,,152,,,,,,,7.94,,,20.7,20.6,,23.1,48.3,,6.43,29.2,,19.2,,,,,4.75,4750000,81.3,81300,45.4,45400,49.3,1.72,1720000,38.2,38200,22,22000,29.7,961000,22.2,18000,43300,58300000,,,,,,,,75.2,,0.449,5.49,72.4,34.5,103,53.6,40.6,25.1,75900,159000,53400,17900,23600,38400,,,406,356,508,,,,,
L,L152X89X12.7,L152X89X12.7,22.7,2900,88.9,,,,,,,,152,,,,,,,12.7,,,25.4,25.4,,21.1,52.6,,9.53,38.1,,12,,,,,6.91,6910000,123,123000,69.3,69300,48.8,1.76,1760000,47.2,47200,26.1,26100,24.6,1080000,19.2,22000,161000,209000000,,,,,,,,73.2,,0.343,7.62,65.8,42.9,99,49.3,37.1,18.5,116000,177000,76900,22000,29000,58200,,,394,330,483,,,,,
L,L152X89X9.5,L152X89X9.5,17.3,2220,88.9,,,,,,,,152,,,,,,,9.53,,,22.2,22.2,,19.8,51.3,,7.29,35.8,,16,,,,,5.37,5370000,94.1,94100,52.9,52900,49,1.39,1390000,35.7,35700,20,20000,25,837000,19.4,16700,69900,91600000,,,,,,,,73.7,,0.349,5.91,66.5,41.9,100,50,35.6,19,88800,141000,58800,16700,23600,44100,,,394,330,483,,,,,
L,L152X89X7.9,L152X89X7.9,14.5,1860,88.9,,,,,,,,152,,,,,,,7.94,,,20.7,20.6,,19.2,50.8,,6.12,35.1,,19.2,,,,,4.54,4540000,79.3,79300,44.6,44600,49.3,1.18,1180000,29.8,29800,16.9,16900,25.2,708000,19.5,14100,41200,54000000,,,,,,,,74.2,,0.352,4.99,67.3,41.7,101,50.3,35.1,19.4,74200,120000,49500,14100,20200,36500,,,394,330,483,,,,,
L,L127X127X22.2,L127X127X22.2,40.5,5160,127,,,,,,,,127,,,,,,,22.2,,,35.1,34.9,,39.6,39.6,,20.3,20.3,,5.71,,,,,7.41,7410000,153,153000,84.6,84600,37.8,7.41,7410000,153,153000,84.6,84600,37.8,3160000,24.7,56200,862000,948000000,,,,,,,,67.1,0.64,1,11.7,82,0,82,41.7,56.1,41.7,142000,,142000,75900,56400,75900,,,381,381,508,,,,,
L,L127X127X19,L127X127X19,35.1,4500,127,,,,,,,,127,,,,,,,19.1,,,31.8,31.8,,38.6,38.6,,17.7,17.7,,6.67,,,,,6.53,6530000,133,133000,74.1,74100,38.1,6.53,6530000,133,133000,74.1,74100,38.1,2730000,24.7,50500,554000,623000000,,,,,,,,67.8,0.63,1,10.3,83.1,0,83.1,41.9,54.6,41.9,124000,,124000,65100,50000,65100,,,381,381,508,,,,,
L,L127X127X15.9,L127X127X15.9,29.8,3810,127,,,,,,,,127,,,,,,,15.9,,,28.7,28.6,,37.3,37.3,,15,15,,8,,,,,5.66,5660000,114,114000,63.1,63100,38.6,5.66,5660000,114,114000,63.1,63100,38.6,2340000,24.8,44200,330000,376000000,,,,,,,,68.6,0.63,1,8.99,84.1,0,84.1,42.7,52.8,42.7,107000,,107000,54900,44200,54900,,,381,381,508,,,,,
L,L127X127X12.7,L127X127X12.7,24.1,3090,127,,,,,,,,127,,,,,,,12.7,,,25.4,25.4,,36.1,36.1,,12.2,12.2,,10,,,,,4.7,4700000,92.8,92800,51.6,51600,38.9,4.7,4700000,92.8,92800,51.6,51600,38.9,1930000,24.9,37500,174000,200000000,,,,,,,,69.3,0.63,1,7.49,85.3,0,85.3,43.2,51.1,43.2,87800,,87800,44700,37900,44700,,,381,381,508,,,,,
L,L127X127X11.1,L127X127X11.1,21.3,2720,127,,,,,,,,127,,,,,,,11.1,,,23.8,23.8,,35.6,35.6,,10.7,10.7,,11.4,,,,,4.16,4160000,81.9,81900,45.6,45600,39.1,4.16,4160000,81.9,81900,45.6,45600,39.1,1680000,25,33800,118000,136000000,,,,,,,,69.6,0.63,1,6.62,85.9,0,85.9,43.4,50.3,43.4,77000,,77000,38700,33400,38700,,,381,381,508,,,,,
L,L127X127X9.5,L127X127X9.5,18.3,2350,127,,,,,,,,127,,,,,,,9.53,,,22.2,22.2,,34.8,34.8,,9.27,9.27,,13.3,,,,,3.65,3650000,71,71000,39.5,39500,39.4,3.65,3650000,71,71000,39.5,39500,39.4,1480000,25,30000,76200,87800000,,,,,,,,70.1,0.63,1,5.83,86.4,0,86.4,43.9,49.3,43.9,67500,,67500,33600,30000,33600,,,381,381,508,,,,,
L,L127X127X7.9,L127X127X7.9,15.3,1980,127,,,,,,,,127,,,,,,,7.94,,,20.7,20.6,,34.3,34.3,,7.8,7.8,,16,,,,,3.1,3100000,59.8,59800,33.4,33400,39.6,3.1,3100000,59.8,59800,33.4,33400,39.6,1250000,25.1,25900,45000,51800000,,,,,,,,70.4,0.63,1,4.95,86.9,0,86.9,44.2,48.5,44.2,57000,,57000,28200,25700,28200,,,381,381,508,,,,,
L,L127X89X19,L127X89X19,29.3,3770,88.9,,,,,,,,127,,,,,,,19.1,,,30.2,30.2,,25.2,44.2,,14.9,27.9,,6.67,,,,,5.79,5790000,125,125000,69.8,69800,39.4,2.3,2300000,66.7,66700,36.1,36100,24.7,1340000,18.9,31100,454000,408000000,,,,,,,,59.9,,0.464,6.74,58.2,29.5,81.8,43.2,41.4,20.6,116000,229000,82400,31100,32400,65400,,,343,305,432,,,,,
L,L127X89X15.9,L127X89X15.9,24.9,3180,88.9,,,,,,,,127,,,,,,,15.9,,,26.9,27,,24.1,42.9,,12.5,26.9,,8,,,,,4.99,4990000,107,107000,59.5,59500,39.6,2,2000000,56.2,56200,30.8,30800,25.1,1140000,18.9,26200,271000,247000000,,,,,,,,60.7,,0.472,5.87,59.2,28.4,82.8,43.7,40.1,21.3,99200,207000,71000,26100,28400,53600,,,343,305,432,,,,,
L,L127X89X12.7,L127X89X12.7,20.2,2580,88.9,,,,,,,,127,,,,,,,12.7,,,23.8,23.8,,22.9,41.9,,10.2,25.4,,10,,,,,4.16,4160000,87.3,87300,48.7,48700,40.1,1.67,1670000,45.7,45700,25.4,25400,25.4,941000,19.1,21100,143000,132000000,,,,,,,,61.5,,0.479,4.91,60.5,27.9,83.8,44.2,38.6,21.7,81300,175000,58700,21300,24400,43400,,,343,305,432,,,,,
L,L127X89X9.5,L127X89X9.5,15.4,1970,88.9,,,,,,,,127,,,,,,,9.53,,,20.7,20.6,,21.7,40.6,,7.75,23.7,,13.3,,,,,3.23,3230000,67,67000,37.4,37400,40.4,1.31,1310000,34.7,34700,19.5,19500,25.9,720000,19.2,16100,62400,58300000,,,,,,,,62.2,,0.485,3.81,61.7,27.2,85.1,44.7,37.3,22.5,61800,140000,44700,16100,19300,32100,,,343,305,432,,,,,
L,L127X89X7.9,L127X89X7.9,12.9,1650,88.9,,,,,,,,127,,,,,,,7.94,,,19.1,19.1,,21.1,39.9,,6.5,23,,16,,,,,2.74,2740000,56.5,56500,31.5,31500,40.6,1.12,1120000,29,29000,16.6,16600,25.9,612000,19.3,13600,36800,34400000,,,,,,,,62.7,,0.489,3.25,62,26.7,85.9,45.2,36.3,22.9,52400,122000,37900,13500,16900,26700,,,343,305,432,,,,,
L,L127X89X6.4,L127X89X6.4,10.4,1340,88.9,,,,,,,,127,,,,,,,6.35,,,17.5,17.5,,20.4,39.4,,5.26,21.8,,20,,,,,2.23,2230000,45.6,45600,25.4,25400,40.9,0.916,916000,23.3,23300,13.4,13400,26.2,495000,19.3,10900,19300,18000000,,,,,,,,63,,0.491,2.65,62.7,26.4,86.4,45.5,35.8,23.2,42300,100000,30600,10900,13800,21300,,,343,305,432,,,,,
L,L127X76X12.7,L127X76X12.7,19,2420,76.2,,,,,,,,127,,,,,,,12.7,,,23.8,23.8,,18.9,44.2,,9.53,31.8,,10,,,,,3.93,3930000,83.9,83900,47.4,47400,40.1,1.06,1060000,34.1,34100,18.5,18500,20.9,645000,16.3,15600,134000,119000000,,,,,,,,60.5,,0.357,4.33,54.9,35.3,82.3,41.1,32.8,16,78800,123000,52600,15700,19700,40500,,,330,279,406,,,,,
L,L127X76X11.1,L127X76X11.1,16.7,2140,76.2,,,,,,,,127,,,,,,,11.1,,,22.2,22.2,,18.3,43.7,,8.41,31,,11.4,,,,,3.5,3500000,74.2,74200,42,42000,40.4,0.953,953000,29.8,29800,16.4,16400,21.1,570000,16.4,13800,91600,81600000,,,,,,,,60.7,,0.361,3.88,55.6,34.8,82.8,41.4,32,16.3,69800,112000,46900,13800,17900,35100,,,330,279,406,,,,,
L,L127X76X9.5,L127X76X9.5,14.5,1850,76.2,,,,,,,,127,,,,,,,9.53,,,20.7,20.6,,17.7,42.9,,7.26,30.2,,13.3,,,,,3.06,3060000,64.4,64400,36.4,36400,40.6,0.837,837000,25.7,25700,14.3,14300,21.3,499000,16.4,11900,58700,52600000,,,,,,,,61.2,,0.364,3.4,55.9,34.3,83.6,41.9,31.2,16.6,60800,99000,40600,11900,16000,30200,,,330,279,406,,,,,
L,L127X76X7.9,L127X76X7.9,12.1,1550,76.2,,,,,,,,127,,,,,,,7.94,,,19.1,19.1,,17.1,42.4,,6.12,29,,16,,,,,2.6,2600000,54.4,54400,30.6,30600,40.9,0.716,716000,21.5,21500,12.1,12100,21.5,420000,16.5,10000,34600,31200000,,,,,,,,61.5,,0.368,2.89,56.4,33.8,83.8,42.2,30.7,16.9,51300,85700,34600,9960,13700,24900,,,330,279,406,,,,,
L,L127X76X6.4,L127X76X6.4,9.8,1250,76.2,,,,,,,,127,,,,,,,6.35,,,17.5,17.5,,16.5,41.7,,4.93,28.4,,20,,,,,2.12,2120000,43.9,43900,24.7,24700,41.1,0.587,587000,17.2,17200,9.83,9830,21.7,343000,16.6,8050,18200,16300000,,,,,,,,61.7,,0.371,2.36,56.9,33.3,84.6,42.7,30,17.2,41600,71100,28000,8050,11500,20000,,,330,279,406,,,,,
L,L102X102X19,L102X102X19,27.5,3510,102,,,,,,,,102,,,,,,,19.1,,,28.7,28.6,,32.3,32.3,,17.3,17.3,,5.33,,,,,3.17,3170000,82.3,82300,45.7,45700,30,3.17,3170000,82.3,82300,45.7,45700,30,1350000,19.7,29700,425000,301000000,,,,,,,,53.3,0.64,1,4.99,65,0,65,33,45.7,33,76900,,76900,41000,29700,41000,,,305,305,406,,,,,
L,L102X102X15.9,L102X102X15.9,23.4,2970,102,,,,,,,,102,,,,,,,15.9,,,25.4,25.4,,31,31,,14.6,14.6,,6.4,,,,,2.76,2760000,70.1,70100,39,39000,30.5,2.76,2760000,70.1,70100,39,39000,30.5,1150000,19.7,26100,254000,183000000,,,,,,,,54.1,0.63,1,4.37,66.3,0,66.3,33.5,43.9,33.5,65900,,65900,34300,26200,34200,,,305,305,406,,,,,
L,L102X102X12.7,L102X102X12.7,19,2420,102,,,,,,,,102,,,,,,,12.7,,,22.2,22.2,,30,30,,11.9,11.9,,8,,,,,2.3,2300000,57.4,57400,32.1,32100,30.7,2.3,2300000,57.4,57400,32.1,32100,30.7,937000,19.7,22100,134000,98300000,,,,,,,,54.9,0.63,1,3.66,67.3,0,67.3,34,42.4,34,54400,,54400,27500,22100,27500,,,305,305,406,,,,,
L,L102X102X11.1,L102X102X11.1,16.8,2130,102,,,,,,,,102,,,,,,,11.1,,,20.7,20.6,,29.2,29.2,,10.5,10.5,,9.13,,,,,2.05,2050000,50.8,50800,28.3,28300,31,2.05,2050000,50.8,50800,28.3,28300,31,828000,19.7,20000,91600,67700000,,,,,,,,55.4,0.63,1,3.27,67.8,0,67.8,34.5,41.4,34.5,48200,,48200,23900,20000,23900,,,305,305,406,,,,,
L,L102X102X9.5,L102X102X9.5,14.6,1850,102,,,,,,,,102,,,,,,,9.53,,,19.1,19.1,,28.7,28.7,,9.09,9.09,,10.7,,,,,1.8,1800000,44.1,44100,24.6,24600,31.2,1.8,1800000,44.1,44100,24.6,24600,31.2,720000,19.8,17700,58700,43500000,,,,,,,,55.6,0.63,1,2.88,68.6,0,68.6,34.5,40.6,34.5,42000,,42000,20800,17700,20800,,,305,305,406,,,,,
L,L102X102X7.9,L102X102X7.9,12.2,1550,102,,,,,,,,102,,,,,,,7.94,,,17.5,17.5,,28.2,28.2,,7.62,7.62,,12.8,,,,,1.53,1530000,37,37000,20.8,20800,31.5,1.53,1530000,37,37000,20.8,20800,31.5,608000,19.8,15300,34600,25900000,,,,,,,,56.1,0.63,1,2.45,69.1,0,69.1,34.8,39.9,34.8,35400,,35400,17500,15200,17500,,,305,305,406,,,,,
L,L102X102X6.4,L102X102X6.4,9.8,1250,102,,,,,,,,102,,,,,,,6.35,,,15.9,15.9,,27.4,27.4,,6.12,6.12,,16,,,,,1.25,1250000,29.8,29800,16.9,16900,31.8,1.25,1250000,29.8,29800,16.9,16900,31.8,495000,19.9,12700,18200,13600000,,,,,,,,56.4,0.63,1,2.01,69.6,0,69.6,35.3,38.9,35.3,28800,,28800,14000,12800,14000,,,305,305,406,,,,,
