type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
HSS,HSS558.8X355.6X9.5,HSS558.8X355.6X9.5,132,15700,559,533,,356,330,9.53,8.86,37.1,60,,695000000,2980000,2490000,211,348000000,2200000,1970000,149,728000000,3.38E+15
HSS,HSS558.8X355.6X7.9,HSS558.8X355.6X7.9,111,13200,559,536,,356,333,7.95,7.39,45.1,72.6,,587000000,2510000,2100000,211,295000000,1840000,1660000,150,612000000,2.83E+15
HSS,HSS558.8X355.6X6.4,HSS558.8X355.6X6.4,89.1,10600,559,541,,356,338,6.35,5.92,57.1,91.4,,475000000,2020000,1700000,212,239000000,1490000,1350000,150,495000000,2.29E+15
HSS,HSS558.8X254X15.9,HSS558.8X254X15.9,190,22600,559,516,,254,210,15.9,14.8,14.2,34.9,,878000000,3950000,3130000,197,256000000,2280000,2020000,106,649000000,3.83E+15
HSS,HSS558.8X254X12.7,HSS558.8X254X12.7,154,18300,559,523,,254,219,12.7,11.8,18.5,44.3,,724000000,3230000,2590000,199,212000000,1870000,1670000,108,533000000,3.13E+15
HSS,HSS558.8X254X9.5,HSS558.8X254X9.5,117,13900,559,533,,254,227,9.53,8.86,25.7,60,,558000000,2470000,2000000,201,165000000,1440000,1300000,109,410000000,2.39E+15
HSS,HSS558.8X254X7.9,HSS558.8X254X7.9,98,11700,559,536,,254,232,7.95,7.39,31.4,72.6,,475000000,2100000,1690000,201,140000000,1210000,1100000,110,346000000,2.02E+15
HSS,HSS558.8X254X6.4,HSS558.8X254X6.4,78.9,9420,559,541,,254,236,6.35,5.92,39.9,91.4,,384000000,1690000,1370000,202,114000000,983000,901000,110,281000000,1.62E+15
HSS,HSS508X508X25.4,HSS508X508X25.4,372,44300,508,437,,508,437,25.4,23.6,18.5,18.5,,1710000000,7960000,6720000,196,1710000000,7960000,6720000,196,2750000000,1.1E+16
HSS,HSS508X508X22.2,HSS508X508X22.2,329,39200,508,447,,508,447,22.2,20.7,21.6,21.6,,1530000000,7100000,6020000,197,1530000000,7100000,6020000,197,2440000000,9.78E+15
HSS,HSS508X508X19.0,HSS508X508X19.0,285,33900,508,455,,508,455,19.1,17.7,25.6,25.6,,1340000000,6200000,5290000,199,1340000000,6200000,5290000,199,2130000000,8.51E+15
HSS,HSS508X508X15.9,HSS508X508X15.9,240,28600,508,465,,508,465,15.9,14.8,31.5,31.5,,1140000000,5240000,4510000,200,1140000000,5240000,4510000,200,1800000000,7.16E+15
HSS,HSS508X508X12.7,HSS508X508X12.7,194,23100,508,472,,508,472,12.7,11.8,40,40,,941000000,4280000,3700000,202,941000000,4280000,3700000,202,1460000000,5.82E+15
HSS,HSS508X508X9.5,HSS508X508X9.5,147,17500,508,483,,508,483,9.53,8.86,54.3,54.3,,724000000,3260000,2850000,203,724000000,3260000,2850000,203,1120000000,4.41E+15
HSS,HSS508X508X7.9,HSS508X508X7.9,123,14600,508,485,,508,485,7.95,7.39,65.7,65.7,,608000000,2740000,2390000,204,608000000,2740000,2390000,204,937000000,3.7E+15
HSS,HSS508X406.4X19.0,HSS508X406.4X19.0,255,30400,508,455,,406,353,19.1,17.7,19.9,25.7,,1130000000,5310000,4440000,193,799000000,4560000,3930000,162,1490000000,6.74E+15
HSS,HSS508X406.4X15.9,HSS508X406.4X15.9,215,25500,508,465,,406,363,15.9,14.8,24.5,31.4,,966000000,4510000,3800000,194,683000000,3870000,3380000,164,1270000000,5.69E+15
HSS,HSS508X406.4X12.7,HSS508X406.4X12.7,174,20700,508,472,,406,371,12.7,11.8,31.4,40,,791000000,3670000,3110000,196,562000000,3160000,2770000,165,1030000000,4.62E+15
HSS,HSS508X406.4X9.5,HSS508X406.4X9.5,132,15700,508,483,,406,381,9.53,8.86,42.8,54.3,,612000000,2820000,2410000,197,433000000,2430000,2130000,166,787000000,3.52E+15
HSS,HSS508X406.4X7.9,HSS508X406.4X7.9,111,13200,508,485,,406,384,7.95,7.39,52,65.7,,516000000,2360000,2030000,198,367000000,2030000,1800000,167,662000000,2.95E+15
HSS,HSS508X406.4X6.4,HSS508X406.4X6.4,89.1,10600,508,490,,406,389,6.35,5.92,65.7,82.8,,416000000,1920000,1640000,199,298000000,1640000,1470000,168,533000000,2.38E+15
HSS,HSS508X304.8X25.4,HSS508X304.8X25.4,291,34700,508,437,,305,234,25.4,23.6,9.9,18.5,,1140000000,5640000,4490000,181,512000000,3950000,3360000,121,1170000000,6.39E+15
HSS,HSS508X304.8X22.2,HSS508X304.8X22.2,258,30800,508,447,,305,243,22.2,20.7,11.7,21.6,,1030000000,5050000,4060000,183,462000000,3540000,3050000,123,1050000000,5.69E+15
HSS,HSS508X304.8X19.0,HSS508X304.8X19.0,224,26800,508,455,,305,252,19.1,17.7,14.2,25.6,,911000000,4430000,3590000,184,411000000,3110000,2700000,124,924000000,4.97E+15
HSS,HSS508X304.8X15.9,HSS508X304.8X15.9,189,22600,508,465,,305,262,15.9,14.8,17.7,31.4,,783000000,3770000,3080000,186,354000000,2650000,2330000,125,787000000,4.21E+15
HSS,HSS508X304.8X12.7,HSS508X304.8X12.7,153,18300,508,472,,305,269,12.7,11.8,22.8,40,,645000000,3080000,2540000,188,293000000,2160000,1920000,127,641000000,3.42E+15
