type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
HSS,HSS355.6X355.6X25.4,HSS355.6X355.6X25.4,250,29900,356,284,,356,284,25.4,23.6,12.1,12.1,,537000000,3670000,3020000,134,537000000,3670000,3020000,134,887000000,5.16E+15
HSS,HSS355.6X355.6X22.2,HSS355.6X355.6X22.2,223,26600,356,295,,356,295,22.2,20.7,14.3,14.3,,487000000,3290000,2740000,135,487000000,3290000,2740000,135,795000000,4.61E+15
HSS,HSS355.6X355.6X19.0,HSS355.6X355.6X19.0,194,23200,356,302,,356,302,19.1,17.7,17,17,,433000000,2900000,2440000,137,433000000,2900000,2440000,137,699000000,4.03E+15
HSS,HSS355.6X355.6X15.9,HSS355.6X355.6X15.9,164,19500,356,312,,356,312,15.9,14.8,21.1,21.1,,373000000,2470000,2100000,138,373000000,2470000,2100000,138,595000000,3.41E+15
HSS,HSS355.6X355.6X12.7,HSS355.6X355.6X12.7,133,15900,356,320,,356,320,12.7,11.8,27.1,27.1,,309000000,2030000,1740000,139,309000000,2030000,1740000,139,487000000,2.79E+15
HSS,HSS355.6X355.6X9.5,HSS355.6X355.6X9.5,102,12100,356,330,,356,330,9.53,8.86,37.1,37.1,,240000000,1560000,1350000,141,240000000,1560000,1350000,141,375000000,2.13E+15
HSS,HSS355.6X355.6X7.9,HSS355.6X355.6X7.9,85.3,10100,356,333,,356,333,7.94,7.39,45.1,45.1,,204000000,1320000,1150000,142,204000000,1320000,1150000,142,316000000,1.79E+15
HSS,HSS355.6X355.6X6.4,HSS355.6X355.6X6.4,68.8,8190,356,338,,356,338,6.35,5.92,57.1,57.1,,166000000,1070000,934000,142,166000000,1070000,934000,142,256000000,1.45E+15
HSS,HSS355.6X304.8X15.9,HSS355.6X304.8X15.9,152,18100,356,312,,305,262,15.9,14.8,17.7,21.1,,330000000,2210000,1850000,135,260000000,2000000,1700000,120,466000000,2.9E+15
HSS,HSS355.6X304.8X12.7,HSS355.6X304.8X12.7,123,14700,356,320,,305,269,12.7,11.8,22.8,27.1,,274000000,1820000,1540000,137,216000000,1640000,1420000,121,383000000,2.38E+15
HSS,HSS355.6X304.8X9.5,HSS355.6X304.8X9.5,94.1,11200,356,330,,305,279,9.53,8.86,31.4,37.1,,213000000,1410000,1200000,138,169000000,1270000,1100000,123,295000000,1.82E+15
HSS,HSS355.6X304.8X7.9,HSS355.6X304.8X7.9,79,9420,356,333,,305,282,7.95,7.39,38.2,45.1,,181000000,1190000,1020000,139,143000000,1070000,939000,123,249000000,1.53E+15
HSS,HSS355.6X304.8X6.4,HSS355.6X304.8X6.4,63.8,7610,356,338,,305,287,6.35,5.92,48.5,57.1,,147000000,965000,829000,139,117000000,869000,765000,124,201000000,1.24E+15
HSS,HSS355.6X254X22.2,HSS355.6X254X22.2,187,22400,356,295,,254,192,22.2,20.7,9.29,14.2,,369000000,2590000,2080000,128,217000000,2050000,1700000,98.6,458000000,3.2E+15
HSS,HSS355.6X254X19.0,HSS355.6X254X19.0,164,19500,356,302,,254,201,19.1,17.7,11.3,17.1,,330000000,2290000,1850000,130,195000000,1820000,1530000,99.8,404000000,2.8E+15
HSS,HSS355.6X254X15.9,HSS355.6X254X15.9,139,16600,356,312,,254,210,15.9,14.8,14.2,21.1,,286000000,1970000,1610000,131,169000000,1560000,1340000,101,346000000,2.39E+15
HSS,HSS355.6X254X12.7,HSS355.6X254X12.7,113,13500,356,320,,254,218,12.7,11.8,18.5,27.1,,239000000,1620000,1340000,133,142000000,1290000,1120000,103,285000000,1.97E+15
HSS,HSS355.6X254X9.5,HSS355.6X254X9.5,86.4,10300,356,330,,254,227,9.53,8.86,25.7,37.1,,186000000,1250000,1050000,134,111000000,995000,875000,104,220000000,1.5E+15
HSS,HSS355.6X254X7.9,HSS355.6X254X7.9,72.7,8650,356,333,,254,232,7.94,7.39,31.4,45.1,,158000000,1060000,890000,135,94500000,842000,746000,105,186000000,1.27E+15
HSS,HSS355.6X254X6.4,HSS355.6X254X6.4,58.7,6970,356,338,,254,236,6.35,5.92,39.9,57.1,,129000000,859000,726000,136,77400000,685000,610000,105,151000000,1.03E+15
HSS,HSS355.6X203.2X15.9,HSS355.6X203.2X15.9,126,15000,356,312,,203,159,15.9,14.8,10.8,21.1,,242000000,1700000,1360000,127,101000000,1160000,993000,81.8,236000000,1.88E+15
HSS,HSS355.6X203.2X12.7,HSS355.6X203.2X12.7,103,12300,356,320,,203,168,12.7,11.8,14.2,27.1,,203000000,1410000,1140000,129,84900000,959000,836000,83.1,195000000,1.55E+15
HSS,HSS355.6X203.2X9.5,HSS355.6X203.2X9.5,78.9,9420,356,330,,203,177,9.53,8.86,19.9,37.1,,159000000,1090000,895000,130,67000000,746000,659000,84.3,151000000,1.19E+15
HSS,HSS355.6X203.2X7.9,HSS355.6X203.2X7.9,66.4,7870,356,333,,203,181,7.95,7.39,24.5,45.1,,135000000,928000,762000,131,57400000,633000,564000,85.1,128000000,1.01E+15
HSS,HSS355.6X203.2X6.4,HSS355.6X203.2X6.4,53.6,6390,356,338,,203,185,6.35,5.92,31.3,57.1,,111000000,754000,623000,132,47000000,515000,462000,85.9,104000000,8.16E+14
HSS,HSS355.6X203.2X4.8,HSS355.6X203.2X4.8,40.6,4810,356,343,,203,190,4.78,4.42,43,77.5,,84500000,572000,475000,133,36000000,390000,354000,86.4,79100000,6.16E+14
HSS,HSS355.6X152.4X15.9,HSS355.6X152.4X15.9,113,13500,356,312,,152,108,15.9,14.8,7.33,21.1,,199000000,1450000,1120000,121,51600000,793000,675000,61.7,139000000,1.37E+15
HSS,HSS355.6X152.4X12.7,HSS355.6X152.4X12.7,92.7,11100,356,320,,152,117,12.7,11.8,9.9,27.1,,167000000,1210000,941000,123,43700000,662000,575000,63,116000000,1.14E+15
HSS,HSS355.6X152.4X9.5,HSS355.6X152.4X9.5,71.2,8520,356,330,,152,126,9.53,8.86,14.2,37.1,,132000000,939000,742000,125,35000000,518000,459000,64.3,91200000,8.8E+14
HSS,HSS355.6X152.4X7.9,HSS355.6X152.4X7.9,60,7160,356,333,,152,130,7.94,7.39,17.6,45.1,,113000000,796000,634000,125,30100000,441000,395000,64.8,77400000,7.46E+14
HSS,HSS355.6X152.4X6.4,HSS355.6X152.4X6.4,48.6,5780,356,338,,152,135,6.35,5.92,22.8,57.1,,92400000,649000,519000,126,24800000,361000,326000,65.5,63300000,6.05E+14
HSS,HSS355.6X152.4X4.8,HSS355.6X152.4X4.8,36.7,4360,356,343,,152,139,4.76,4.42,31.5,77.5,,70800000,493000,398000,127,19100000,274000,251000,66.3,48300000,4.59E+14
HSS,HSS355.6X101.6X15.9,HSS355.6X101.6X15.9,101,12100,356,312,,102,57.4,15.9,14.8,3.88,21.1,,155000000,1200000,873000,114,19600000,467000,387000,40.4,61600000,8.62E+14
HSS,HSS355.6X101.6X12.7,HSS355.6X101.6X12.7,82.6,9870,356,320,,102,66,12.7,11.8,5.6,27.1,,132000000,1000000,742000,116,17100000,395000,338000,41.7,52900000,7.23E+14
HSS,HSS355.6X101.6X9.5,HSS355.6X101.6X9.5,63.6,7610,356,330,,102,74.9,9.53,8.86,8.46,37.1,,105000000,783000,590000,118,14000000,313000,275000,42.9,42500000,5.67E+14
HSS,HSS355.6X101.6X7.9,HSS355.6X101.6X7.9,53.7,6400,356,333,,102,79.5,7.94,7.39,10.7,45.1,,89900000,665000,506000,119,12200000,269000,239000,43.7,36500000,4.83E+14
HSS,HSS355.6X101.6X6.4,HSS355.6X101.6X6.4,43.5,5180,356,338,,102,83.8,6.35,5.92,14.2,57.1,,74100000,544000,416000,120,10200000,221000,200000,44.2,30100000,3.95E+14
HSS,HSS355.6X101.6X4.8,HSS355.6X101.6X4.8,32.9,3910,356,343,,102,88.4,4.76,4.42,20,77.5,,57000000,415000,320000,120,7910000,169000,155000,45,23200000,3.02E+14
HSS,HSS304.8X304.8X25.4,HSS304.8X304.8X25.4,210,25200,305,234,,305,234,25.4,23.6,9.9,9.9,,321000000,2590000,2110000,113,321000000,2590000,2110000,113,541000000,3.69E+15
HSS,HSS304.8X304.8X22.2,HSS304.8X304.8X22.2,187,22400,305,243,,305,243,22.2,20.7,11.7,11.7,,294000000,2340000,1930000,115,294000000,2340000,1930000,115,487000000,3.31E+15
HSS,HSS304.8X304.8X19.0,HSS304.8X304.8X19.0,164,19500,305,252,,305,252,19.1,17.7,14.2,14.2,,263000000,2080000,1720000,116,263000000,2080000,1720000,116,429000000,2.9E+15
HSS,HSS304.8X304.8X15.9,HSS304.8X304.8X15.9,139,16600,305,262,,305,262,15.9,14.8,17.7,17.7,,228000000,1790000,1500000,117,228000000,1790000,1500000,117,368000000,2.47E+15
HSS,HSS304.8X304.8X12.7,HSS304.8X304.8X12.7,113,13500,305,269,,305,269,12.7,11.8,22.8,22.8,,190000000,1470000,1250000,119,190000000,1470000,1250000,119,303000000,2.02E+15
HSS,HSS304.8X304.8X9.5,HSS304.8X304.8X9.5,86.3,10300,305,279,,305,279,9.53,8.86,31.4,31.4,,149000000,1130000,975000,120,149000000,1130000,975000,120,234000000,1.55E+15
HSS,HSS304.8X304.8X7.9,HSS304.8X304.8X7.9,72.6,8650,305,282,,305,282,7.94,7.39,38.2,38.2,,127000000,960000,831000,121,127000000,960000,831000,121,197000000,1.31E+15
HSS,HSS304.8X304.8X6.4,HSS304.8X304.8X6.4,58.6,6970,305,287,,305,287,6.35,5.92,48.5,48.5,,103000000,780000,678000,122,103000000,780000,678000,122,160000000,1.06E+15
HSS,HSS304.8X304.8X4.8,HSS304.8X304.8X4.8,44.4,5260,305,292,,305,292,4.76,4.42,66,66,,78700000,590000,516000,122,78700000,590000,516000,122,121000000,7.96E+14
HSS,HSS304.8X254X15.9,HSS304.8X254X15.9,126,15000,305,262,,254,210,15.9,14.8,14.2,17.7,,196000000,1560000,1290000,114,148000000,1380000,1170000,99.1,275000000,2.03E+15
HSS,HSS304.8X254X12.7,HSS304.8X254X12.7,103,12300,305,269,,254,218,12.7,11.8,18.5,22.8,,164000000,1290000,1080000,116,124000000,1140000,978000,101,227000000,1.67E+15
HSS,HSS304.8X254X9.5,HSS304.8X254X9.5,78.8,9420,305,279,,254,227,9.53,8.86,25.7,31.4,,129000000,1000000,846000,117,97400000,885000,769000,102,175000000,1.28E+15
HSS,HSS304.8X254X7.9,HSS304.8X254X7.9,66.4,7870,305,282,,254,232,7.94,7.39,31.4,38.2,,110000000,847000,721000,118,83200000,749000,655000,103,148000000,1.08E+15
HSS,HSS304.8X254X6.4,HSS304.8X254X6.4,53.6,6390,305,287,,254,236,6.35,5.92,39.9,48.5,,89900000,690000,590000,119,68300000,610000,536000,103,120000000,8.77E+14
HSS,HSS304.8X254X4.8,HSS304.8X254X4.8,40.6,4810,305,292,,254,241,4.78,4.42,54.5,66,,68700000,523000,451000,119,52000000,462000,410000,104,91200000,6.62E+14
HSS,HSS304.8X203.2X15.9,HSS304.8X203.2X15.9,113,13500,305,262,,203,159,15.9,14.8,10.8,17.7,,165000000,1350000,1080000,110,87400000,1010000,860000,80.3,189000000,1.6E+15
HSS,HSS304.8X203.2X12.7,HSS304.8X203.2X12.7,92.7,11100,305,269,,203,168,12.7,11.8,14.2,22.8,,139000000,1120000,911000,112,74100000,844000,728000,81.5,157000000,1.32E+15
HSS,HSS304.8X203.2X9.5,HSS304.8X203.2X9.5,71.2,8520,305,279,,203,177,9.53,8.86,19.9,31.4,,109000000,869000,716000,114,58300000,657000,575000,83.1,122000000,1.02E+15
HSS,HSS304.8X203.2X7.9,HSS304.8X203.2X7.9,60.1,7160,305,282,,203,181,7.94,7.39,24.5,38.2,,93200000,736000,613000,114,49900000,559000,493000,83.6,103000000,8.59E+14
HSS,HSS304.8X203.2X6.4,HSS304.8X203.2X6.4,48.5,5780,305,287,,203,185,6.35,5.92,31.3,48.5,,76600000,600000,501000,115,41100000,456000,405000,84.3,84100000,6.96E+14
HSS,HSS304.8X203.2X4.8,HSS304.8X203.2X4.8,36.9,4360,305,292,,203,190,4.77,4.42,43,66,,58300000,456000,383000,116,31500000,346000,310000,85.1,63700000,5.28E+14
HSS,HSS304.8X152.4X15.9,HSS304.8X152.4X15.9,101,12100,305,262,,152,108,15.9,14.8,7.33,17.7,,134000000,1130000,875000,105,44500000,690000,582000,60.7,113000000,1.17E+15
HSS,HSS304.8X152.4X12.7,HSS304.8X152.4X12.7,82.6,9870,305,269,,152,117,12.7,11.8,9.9,22.8,,113000000,941000,741000,107,37900000,577000,498000,62,94500000,9.67E+14
HSS,HSS304.8X152.4X9.5,HSS304.8X152.4X9.5,63.6,7610,305,279,,152,126,9.53,8.86,14.2,31.4,,89500000,734000,588000,109,30300000,454000,398000,63.2,74100000,7.51E+14
HSS,HSS304.8X152.4X7.9,HSS304.8X152.4X7.9,53.7,6400,305,282,,152,130,7.94,7.39,17.6,38.2,,76600000,624000,503000,109,26100000,387000,342000,64,63300000,6.36E+14
HSS,HSS304.8X152.4X6.4,HSS304.8X152.4X6.4,43.4,5180,305,287,,152,135,6.35,5.92,22.8,48.5,,62900000,510000,413000,110,21600000,316000,283000,64.5,51600000,5.18E+14
HSS,HSS304.8X152.4X4.8,HSS304.8X152.4X4.8,33.1,3910,305,292,,152,139,4.76,4.42,31.5,66,,48300000,388000,318000,111,16600000,241000,218000,65.3,39400000,3.93E+14
HSS,HSS304.8X101.6X15.9,HSS304.8X101.6X15.9,88,10600,305,262,,102,57.4,15.9,14.8,3.88,17.7,,102000000,909000,669000,98.3,16800000,401000,331000,39.9,50800000,7.31E+14
HSS,HSS304.8X101.6X12.7,HSS304.8X101.6X12.7,72.5,8710,305,269,,102,66,12.7,11.8,5.6,22.8,,87400000,765000,572000,100,14700000,342000,290000,41.1,43700000,6.15E+14
HSS,HSS304.8X101.6X9.5,HSS304.8X101.6X9.5,56,6710,305,279,,102,74.9,9.53,8.86,8.46,31.4,,69900000,601000,459000,102,12000000,272000,238000,42.4,35000000,4.83E+14
HSS,HSS304.8X101.6X7.9,HSS304.8X101.6X7.9,47.4,5650,305,282,,102,79.5,7.94,7.39,10.7,38.2,,59900000,513000,395000,103,10500000,233000,206000,43.2,30100000,4.13E+14
HSS,HSS304.8X101.6X6.4,HSS304.8X101.6X6.4,38.4,4580,305,287,,102,83.8,6.35,5.92,14.2,48.5,,49500000,420000,326000,104,8740000,192000,172000,43.7,24900000,3.38E+14
HSS,HSS304.8X101.6X4.8,HSS304.8X101.6X4.8,29.3,3460,305,292,,102,88.4,4.76,4.42,20,66,,38200000,321000,251000,105,6830000,147000,134000,44.5,19200000,2.57E+14
HSS,HSS304.8X76.2X7.9,HSS304.8X76.2X7.9,44.2,5270,305,282,,76.2,54.1,7.94,7.39,7.31,38.2,,51600000,457000,339000,99.1,5450000,164000,143000,32.3,17200000,3.02E+14
HSS,HSS304.8X76.2X6.4,HSS304.8X76.2X6.4,35.8,4280,305,287,,76.2,58.4,6.35,5.92,9.88,48.5,,42900000,375000,282000,100,4620000,136000,121000,32.8,14400000,2.47E+14
HSS,HSS304.8X76.2X4.8,HSS304.8X76.2X4.8,27.4,3240,305,292,,76.2,63,4.76,4.42,14.2,66,,33100000,287000,218000,101,3630000,105000,95200,33.5,11200000,1.9E+14
HSS,HSS304.8X50.8X7.9,HSS304.8X50.8X7.9,41,4900,305,282,,50.8,28.7,7.94,7.39,3.87,38.2,,43300000,401000,285000,94.2,2120000,99100,83600,20.8,7330000,1.9E+14
HSS,HSS304.8X50.8X6.4,HSS304.8X50.8X6.4,33.3,3980,305,287,,50.8,33,6.35,5.92,5.58,48.5,,36200000,329000,238000,95.3,1840000,83200,72300,21.5,6290000,1.58E+14
HSS,HSS304.8X50.8X4.8,HSS304.8X50.8X4.8,25.4,3010,305,292,,50.8,37.6,4.76,4.42,8.49,66,,28100000,254000,184000,96.5,1480000,65100,58200,22.1,4990000,1.23E+14
HSS,HSS254X254X19.0,HSS254X254X19.0,133,15900,254,201,,254,201,19.1,17.7,11.3,11.3,,144000000,1390000,1140000,95.3,144000000,1390000,1140000,95.3,241000000,1.95E+15
HSS,HSS254X254X15.9,HSS254X254X15.9,113,13500,254,210,,254,210,15.9,14.8,14.2,14.2,,127000000,1200000,996000,96.5,127000000,1200000,996000,96.5,207000000,1.67E+15
HSS,HSS254X254X12.7,HSS254X254X12.7,92.7,11100,254,218,,254,218,12.7,11.8,18.5,18.5,,107000000,995000,839000,98,107000000,995000,839000,98,171000000,1.38E+15
HSS,HSS254X254X9.5,HSS254X254X9.5,71.2,8520,254,227,,254,227,9.53,8.86,25.7,25.7,,84100000,773000,662000,99.6,84100000,773000,662000,99.6,133000000,1.06E+15
HSS,HSS254X254X7.9,HSS254X254X7.9,60,7160,254,232,,254,232,7.94,7.39,31.4,31.4,,71600000,657000,565000,100,71600000,657000,565000,100,113000000,8.98E+14
HSS,HSS254X254X6.4,HSS254X254X6.4,48.5,5780,254,236,,254,236,6.35,5.92,39.9,39.9,,58700000,536000,464000,101,58700000,536000,464000,101,91600000,7.28E+14
HSS,HSS254X254X4.8,HSS254X254X4.8,36.8,4360,254,241,,254,241,4.76,4.42,54.5,54.5,,45000000,406000,354000,102,45000000,406000,354000,102,69500000,5.51E+14
HSS,HSS254X203.2X15.9,HSS254X203.2X15.9,101,12100,254,210,,203,159,15.9,14.8,10.8,14.2,,105000000,1020000,828000,93.5,74100000,873000,729000,78.5,144000000,1.32E+15
HSS,HSS254X203.2X12.7,HSS254X203.2X12.7,82.6,9870,254,218,,203,168,12.7,11.8,14.2,18.5,,89100000,850000,700000,94.7,62900000,729000,619000,79.8,120000000,1.09E+15
HSS,HSS254X203.2X9.5,HSS254X203.2X9.5,63.6,7610,254,227,,203,177,9.53,8.86,19.9,25.7,,70300000,664000,556000,96.3,49900000,570000,492000,81,93200000,8.42E+14
HSS,HSS254X203.2X7.9,HSS254X203.2X7.9,53.7,6400,254,232,,203,181,7.94,7.39,24.5,31.4,,60400000,564000,475000,97,42900000,485000,421000,81.8,79100000,7.13E+14
HSS,HSS254X203.2X6.4,HSS254X203.2X6.4,43.4,5180,254,236,,203,185,6.35,5.92,31.3,39.9,,49500000,460000,390000,97.8,35300000,397000,347000,82.6,64500000,5.78E+14
HSS,HSS254X203.2X4.8,HSS254X203.2X4.8,33.1,3910,254,241,,203,190,4.76,4.42,43,54.5,,38000000,351000,300000,98.6,27100000,302000,267000,83.3,49100000,4.38E+14
HSS,HSS254X152.4X15.9,HSS254X152.4X15.9,88,10600,254,210,,152,108,15.9,14.8,7.33,14.2,,83700000,841000,659000,88.9,37200000,587000,488000,59.4,87000000,9.6E+14
HSS,HSS254X152.4X12.7,HSS254X152.4X12.7,72.5,8710,254,218,,152,117,12.7,11.8,9.9,18.5,,71200000,705000,562000,90.7,32000000,493000,420000,60.7,73300000,7.98E+14
HSS,HSS254X152.4X9.5,HSS254X152.4X9.5,56,6710,254,227,,152,126,9.53,8.86,14.2,25.7,,57000000,554000,449000,92.2,25700000,388000,338000,62,57900000,6.21E+14
HSS,HSS254X152.4X7.9,HSS254X152.4X7.9,47.4,5650,254,232,,152,130,7.94,7.39,17.6,31.4,,49100000,472000,385000,93,22200000,331000,292000,62.7,49100000,5.28E+14
HSS,HSS254X152.4X6.4,HSS254X152.4X6.4,38.4,4580,254,236,,152,135,6.35,5.92,22.8,39.9,,40300000,387000,318000,93.7,18400000,272000,241000,63.2,40200000,4.29E+14
HSS,HSS254X152.4X4.8,HSS254X152.4X4.8,29.3,3460,254,241,,152,139,4.76,4.42,31.5,54.5,,31100000,295000,244000,94.7,14200000,208000,187000,64,30700000,3.26E+14
HSS,HSS254X127X9.5,HSS254X127X9.5,52.2,6240,254,227,,127,100,9.53,8.86,11.3,25.7,,49900000,498000,395000,89.7,16900000,306000,265000,52.1,41600000,5.11E+14
HSS,HSS254X127X7.9,HSS254X127X7.9,44.2,5270,254,232,,127,105,7.94,7.39,14.2,31.4,,43300000,426000,341000,90.4,14700000,262000,231000,52.6,35800000,4.34E+14
HSS,HSS254X127X6.4,HSS254X127X6.4,35.8,4280,254,236,,127,109,6.35,5.92,18.5,39.9,,35700000,349000,282000,91.4,12200000,216000,192000,53.3,29400000,3.54E+14
HSS,HSS254X101.6X15.9,HSS254X101.6X15.9,75.3,9030,254,210,,102,57.4,15.9,14.8,3.88,14.2,,62000000,660000,490000,82.8,13900000,338000,275000,39.1,39800000,6.01E+14
HSS,HSS254X101.6X12.7,HSS254X101.6X12.7,62.4,7480,254,218,,102,66,12.7,11.8,5.6,18.5,,53700000,559000,423000,84.8,12300000,288000,241000,40.4,34400000,5.08E+14
HSS,HSS254X101.6X9.5,HSS254X101.6X9.5,48.4,5790,254,227,,102,74.9,9.53,8.86,8.46,25.7,,43300000,442000,341000,86.6,10100000,229000,198000,41.7,27700000,4E+14
HSS,HSS254X101.6X7.9,HSS254X101.6X7.9,41,4900,254,232,,102,79.5,7.94,7.39,10.7,31.4,,37500000,379000,295000,87.4,8820000,198000,174000,42.4,23900000,3.42E+14
HSS,HSS254X101.6X6.4,HSS254X101.6X6.4,33.3,3980,254,236,,102,83.8,6.35,5.92,14.2,39.9,,31100000,311000,244000,88.4,7370000,164000,145000,43.2,19700000,2.8E+14
HSS,HSS254X101.6X4.8,HSS254X101.6X4.8,25.4,3010,254,241,,102,88.4,4.76,4.42,20,54.5,,24100000,239000,190000,89.4,5790000,126000,114000,43.7,15200000,2.15E+14
HSS,HSS254X101.6X3.2,HSS254X101.6X3.2,17.2,2040,254,245,,102,92.7,3.18,2.95,31.5,83.2,,16600000,164000,131000,90.2,4020000,86200,79100,44.5,10400000,1.46E+14
HSS,HSS254X88.9X9.5,HSS254X88.9X9.5,46.5,5560,254,227,,88.9,62.2,9.53,8.86,7.03,25.7,,40000000,415000,315000,84.8,7410000,193000,167000,36.6,21400000,3.46E+14
HSS,HSS254X88.9X7.9,HSS254X88.9X7.9,39.5,4710,254,232,,88.9,66.8,7.94,7.39,9.03,31.4,,34600000,356000,272000,85.9,6490000,167000,146000,37.1,18600000,2.95E+14
HSS,HSS254X88.9X6.4,HSS254X88.9X6.4,32,3830,254,236,,88.9,71.1,6.35,5.92,12,39.9,,28800000,293000,226000,86.6,5450000,138000,123000,37.8,15400000,2.43E+14
HSS,HSS254X88.9X4.8,HSS254X88.9X4.8,24.5,2900,254,241,,88.9,75.7,4.76,4.42,17.1,54.5,,22300000,225000,175000,87.6,4290000,107000,96500,38.4,11900000,1.87E+14
HSS,HSS254X76.2X9.5,HSS254X76.2X9.5,44.6,5340,254,227,,76.2,49.5,9.53,8.86,5.6,25.7,,36600000,388000,288000,82.8,5160000,159000,136000,31,15700000,2.9E+14
HSS,HSS254X76.2X7.9,HSS254X76.2X7.9,37.9,4520,254,232,,76.2,54.1,7.94,7.39,7.31,31.4,,31800000,333000,251000,83.8,4580000,138000,120000,31.8,13700000,2.49E+14
HSS,HSS254X76.2X6.4,HSS254X76.2X6.4,30.8,3680,254,236,,76.2,58.4,6.35,5.92,9.88,39.9,,26500000,274000,208000,84.8,3860000,115000,101000,32.5,11500000,2.05E+14
HSS,HSS254X76.2X4.8,HSS254X76.2X4.8,23.5,2790,254,241,,76.2,63,4.76,4.42,14.2,54.5,,20600000,210000,162000,85.9,3050000,88700,80100,33,8950000,1.58E+14
HSS,HSS254X76.2X3.2,HSS254X76.2X3.2,15.9,1890,254,245,,76.2,67.3,3.18,2.95,22.9,83.2,,14200000,144000,112000,86.9,2150000,61300,56400,33.8,6200000,1.08E+14
HSS,HSS254X50.8X9.5,HSS254X50.8X9.5,40.8,4890,254,227,,50.8,24.2,9.53,8.86,2.73,25.7,,29800000,333000,234000,78.2,1960000,94400,77000,20,6620000,1.8E+14
HSS,HSS254X50.8X7.9,HSS254X50.8X7.9,34.7,4150,254,232,,50.8,28.7,7.94,7.39,3.87,31.4,,26100000,287000,205000,79.2,1760000,82900,69500,20.6,5910000,1.57E+14
HSS,HSS254X50.8X6.4,HSS254X50.8X6.4,28.3,3380,254,236,,50.8,33,6.35,5.92,5.58,39.9,,21900000,236000,172000,80.5,1530000,69800,60100,21.3,5080000,1.31E+14
HSS,HSS254X50.8X4.8,HSS254X50.8X4.8,21.6,2570,254,241,,50.8,37.6,4.76,4.42,8.49,54.5,,17100000,182000,134000,81.5,1240000,54700,48700,21.9,4050000,1.02E+14
HSS,HSS254X50.8X3.2,HSS254X50.8X3.2,14.7,1740,254,245,,50.8,41.9,3.18,2.95,14.2,83.2,,11900000,125000,93400,82.6,891000,38200,35100,22.6,2870000,7.06E+13
HSS,HSS228.6X228.6X15.9,HSS228.6X228.6X15.9,101,12100,229,184,,229,184,15.9,14.8,12.5,12.5,,89900000,952000,785000,86.4,89900000,952000,785000,86.4,148000000,1.34E+15
HSS,HSS228.6X228.6X12.7,HSS228.6X228.6X12.7,82.6,9870,229,193,,229,193,12.7,11.8,16.4,16.4,,76200000,793000,665000,87.6,76200000,793000,665000,87.6,123000000,1.1E+15
HSS,HSS228.6X228.6X9.5,HSS228.6X228.6X9.5,63.6,7610,229,202,,229,202,9.53,8.86,22.8,22.8,,60400000,619000,528000,89.2,60400000,619000,528000,89.2,96100000,8.54E+14
HSS,HSS228.6X228.6X7.9,HSS228.6X228.6X7.9,53.6,6400,229,207,,229,207,7.94,7.39,27.9,27.9,,51600000,526000,452000,89.9,51600000,526000,452000,89.9,81600000,7.21E+14
HSS,HSS228.6X228.6X6.4,HSS228.6X228.6X6.4,43.4,5180,229,211,,229,211,6.35,5.92,35.6,35.6,,42500000,429000,372000,90.4,42500000,429000,372000,90.4,66200000,5.87E+14
HSS,HSS228.6X228.6X74.8,HSS228.6X228.6X74.8,33,3910,229,215,,229,215,4.76,4.42,48.7,48.7,,32500000,328000,285000,91.2,32500000,328000,285000,91.2,50400000,4.44E+14
HSS,HSS228.6X228.6X3.2,HSS228.6X228.6X3.2,22.3,2640,229,220,,229,220,3.18,2.95,74.6,74.6,,22300000,223000,195000,91.9,22300000,223000,195000,91.9,34100000,3E+14
HSS,HSS228.6X177.8X15.9,HSS228.6X177.8X15.9,88,10600,229,184,,178,134,15.9,14.8,9.05,12.5,,72400000,791000,634000,82.8,48700000,664000,549000,68.1,97800000,1.02E+15
HSS,HSS228.6X177.8X12.7,HSS228.6X177.8X12.7,72.5,8710,229,193,,178,142,12.7,11.8,12.1,16.4,,62000000,664000,541000,84.3,41600000,557000,470000,69.3,82000000,8.44E+14
HSS,HSS228.6X177.8X9.5,HSS228.6X177.8X9.5,56,6710,229,202,,178,151,9.53,8.86,17.1,22.8,,49500000,521000,433000,85.9,33500000,438000,377000,70.6,64100000,6.55E+14
HSS,HSS228.6X177.8X7.9,HSS228.6X177.8X7.9,47.4,5650,229,207,,178,156,7.94,7.39,21.1,27.9,,42500000,444000,370000,86.6,28800000,374000,324000,71.4,54500000,5.56E+14
HSS,HSS228.6X177.8X6.4,HSS228.6X177.8X6.4,38.4,4580,229,211,,178,160,6.35,5.92,27,35.6,,35000000,364000,306000,87.4,23800000,306000,267000,72.1,44500000,4.52E+14
HSS,HSS228.6X177.8X4.8,HSS228.6X177.8X4.8,29.3,3460,229,215,,178,165,4.76,4.42,37.2,48.7,,26900000,277000,236000,88.1,18400000,234000,206000,72.9,34000000,3.42E+14
HSS,HSS228.6X127X15.9,HSS228.6X127X15.9,75.3,9030,229,184,,127,82.8,15.9,14.8,5.61,12.5,,55400000,631000,485000,78.2,21600000,415000,341000,48.8,53300000,6.96E+14
HSS,HSS228.6X127X12.7,HSS228.6X127X12.7,62.4,7480,229,193,,127,91.4,12.7,11.8,7.75,16.4,,47900000,533000,418000,79.8,18800000,352000,297000,50,45400000,5.83E+14
