type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W,W920X425,W920X425,F,425,54100,960,959,312,311,26.9,27,14.3,49,49.2,68.1,79.4,44.5,3.19,30.6,7870000000,19000000,16400000,381,251000000,2560000,1600000,68.1,30300000,5.21E+13,71000,273000000,3200000,9470000,83.6,912,2770,3070,2230,2540,800,140,
W,W920X381,W920X381,F,381,48600,951,949,310,311,24.4,23.8,12.7,43.9,44.4,63,74.6,42.9,3.53,33.8,6990000000,17000000,14700000,378,220000000,2250000,1420000,67.3,22000000,4.51E+13,70300,240000000,2850000,8460000,82.3,907,2740,3050,2210,2520,800,140,
W,W920X345,W920X345,F,345,43900,943,943,307,308,22.1,22.2,11.1,39.9,39.7,58.9,71.4,41.3,3.86,37.3,6240000000,15300000,13300000,376,195000000,2000000,1270000,66.5,16500000,3.97E+13,69700,213000000,2570000,7600000,81.5,902,2740,3050,2190,2500,800,140,
W,W920X313,W920X313,F,313,39900,932,933,310,308,21.1,20.6,11.1,34.5,34.9,53.6,66.7,41.3,4.48,39.1,5490000000,13700000,11800000,371,171000000,1750000,1110000,65.5,11700000,3.44E+13,69700,186000000,2230000,6750000,80.8,897,2720,3020,2170,2480,800,140,
W,W920X289,W920X289,F,289,36800,927,927,307,308,19.4,19,9.52,32,31.8,51.1,63.5,39.7,4.81,42.4,5040000000,12600000,10900000,371,156000000,1600000,1010000,65,9240000,3.12E+13,69000,169000000,2060000,6210000,80,894,2720,3020,2160,2470,800,140,
W,W920X271,W920X271,F,271,34600,922,924,307,308,18.4,19,9.52,30,30.2,49,60.3,39.7,5.12,44.8,4700000000,11800000,10200000,368,144000000,1490000,944000,64.8,7700000,2.87E+13,68400,157000000,1930000,5820000,79.5,892,2690,3000,2150,2460,800,140,
W,W920X253,W920X253,F,253,32300,919,918,305,305,17.3,17.5,9.52,27.9,28.6,47,60.3,39.7,5.47,47.7,4370000000,10900000,9520000,368,133000000,1370000,872000,64.3,6290000,2.65E+13,67700,145000000,1790000,5410000,79,892,2690,3000,2140,2450,800,140,
W,W920X238,W920X238,F,238,30300,914,914,305,305,16.5,15.9,7.94,25.9,25.4,45,57.2,39.7,5.88,49.9,4060000000,10200000,8880000,366,123000000,1270000,805000,63.5,5160000,2.42E+13,67700,134000000,1660000,5050000,78.5,889,2670,2970,2130,2440,800,140,
W,W920X223,W920X223,F,223,28600,912,911,305,305,15.9,15.9,7.94,23.9,23.8,42.9,55.6,38.1,6.37,51.9,3760000000,9520000,8260000,363,112000000,1160000,739000,62.7,4200000,2.21E+13,67700,122000000,1530000,4700000,77.7,889,2670,2970,2130,2430,800,140,
W,W920X201,W920X201,F,201,25700,904,902,305,305,15.2,15.9,7.94,20.1,20.6,39.1,52.4,38.1,7.56,54.1,3250000000,8340000,7190000,356,93700000,978000,618000,60.5,2910000,1.83E+13,67100,102000000,1280000,4110000,75.9,884,2670,2970,2110,2420,800,140,
W,W840X576,W840X576,T,576,73500,914,914,411,413,32,31.8,15.9,57.9,57.2,78,90.5,46,3.55,23.7,10100000000,25600000,22100000,371,674000000,5110000,3280000,95.8,61600000,1.23E+14,88400,524000000,4700000,12700000,114,856,2970,3380,2240,2640,733,140,76.2
W,W840X527,W840X527,T,527,67100,904,902,409,410,29.5,30.2,15.9,53.1,52.4,73.2,85.7,46,3.85,25.7,9160000000,23300000,20300000,368,608000000,4620000,2970000,95,47900000,1.10E+14,87100,470000000,4290000,11600000,113,851,2950,3350,2220,2620,733,140,76.2
W,W840X473,W840X473,F,473,60500,894,892,406,406,26.4,27,14.3,48,47.6,68.1,81,44.5,4.23,28.7,8120000000,20800000,18200000,368,537000000,4100000,2640000,94.2,35100000,9.59E+13,85800,420000000,3850000,10400000,112,846,2920,3330,2190,2590,733,140,76.2
W,W840X433,W840X433,F,433,55200,884,886,404,403,24.4,23.8,12.7,43.9,44.4,64,74.6,42.9,4.6,31,7370000000,19000000,16700000,366,483000000,3700000,2390000,93.5,27100000,8.57E+13,84500,376000000,3510000,9390000,110,841,2900,3300,2170,2570,733,140,76.2
W,W840X392,W840X392,F,392,49900,876,876,401,400,22.1,22.2,11.1,39.9,39.7,59.9,71.4,41.3,5.03,34.3,6620000000,17000000,15100000,363,433000000,3310000,2150000,93,20300000,7.55E+13,83900,336000000,3160000,8440000,109,836,2870,3280,2150,2570,733,140,76.2
W,W840X359,W840X359,F,359,45900,869,867,404,403,21.1,20.6,11.1,35.6,34.9,55.6,68.3,41.3,5.66,35.9,5910000000,15400000,13600000,358,388000000,2980000,1930000,91.9,15100000,6.74E+13,83900,302000000,2830000,7650000,109,833,2870,3280,2140,2540,733,140,76.2
W,W840X329,W840X329,F,329,42100,861,860,401,400,19.7,19,9.52,32.5,31.8,52.3,63.5,41.3,6.2,38.5,5370000000,14000000,12400000,358,350000000,2690000,1740000,91.2,11600000,6.02E+13,83200,269000000,2560000,6930000,108,828,2840,3250,2120,2520,733,140,76.2
W,W840X299,W840X299,F,299,38100,856,854,399,400,18.2,17.5,9.52,29.2,28.6,49.3,61.9,39.7,6.85,41.7,4830000000,12700000,11200000,356,312000000,2410000,1560000,90.4,8660000,5.32E+13,82600,240000000,2290000,6260000,107,828,2820,3230,2110,2510,733,140,76.2
W,W840X251,W840X251,F,251,31900,859,860,292,292,17,17.5,9.52,31,31.8,48.8,61.9,39.7,4.71,44.7,3870000000,10300000,9000000,348,129000000,1380000,883000,63.5,7370000,2.21E+13,60500,137000000,1770000,5100000,77,828,2530,2820,2010,2300,733,140,
W,W840X226,W840X226,F,226,29000,851,851,295,295,16.1,15.9,7.94,26.9,27,44.7,58.7,38.1,5.48,47.2,3400000000,9160000,7980000,343,114000000,1210000,773000,62.7,5160000,1.93E+13,60700,120000000,1550000,4560000,76.5,823,2520,2820,2000,2290,733,140,
W,W840X210,W840X210,F,210,26800,846,845,292,292,15.4,15.9,7.94,24.4,23.8,42.2,55.6,38.1,6.01,49.6,3100000000,8420000,7340000,340,102000000,1100000,700000,61.7,4040000,1.73E+13,60000,107000000,1390000,4150000,75.7,820,2500,2790,1980,2280,733,140,
W,W840X193,W840X193,F,193,24700,841,841,292,292,14.7,14.3,7.94,21.7,22.2,39.6,54,38.1,6.73,51.7,2790000000,7650000,6650000,335,90700000,975000,621000,60.7,3070000,1.52E+13,59800,94900000,1230000,3770000,74.7,818,2500,2790,1970,2270,733,140,
W,W840X176,W840X176,F,176,22400,836,835,292,292,14,14.3,7.94,18.8,19,36.6,50.8,38.1,7.76,54.5,2460000000,6800000,5880000,330,77800000,841000,534000,58.9,2210000,1.30E+13,59700,82000000,1070000,3360000,73.4,818,2480,2770,1960,2260,733,140,
W,W760X582,W760X582,T,582,74200,843,845,396,397,34.5,34.9,17.5,62,61.9,82,95.3,47.6,3.19,19.7,8620000000,23800000,20500000,340,645000000,5080000,3240000,93.2,72000000,9.83E+13,77400,475000000,4380000,11800000,111,782,2770,3180,2080,2480,654,140,76.2
W,W760X531,W760X531,T,531,67700,833,832,394,394,31.5,31.8,15.9,56.9,57.2,77,88.9,46,3.45,21.6,7780000000,21600000,18700000,338,579000000,4570000,2930000,92.5,55800000,8.70E+13,76100,429000000,4000000,10700000,109,777,2740,3150,2060,2450,654,140,76.2
W,W760X484,W760X484,T,484,61900,823,822,391,391,29,28.6,14.3,52.1,52.4,72.1,84.1,44.5,3.75,23.4,6990000000,19500000,17000000,335,516000000,4130000,2650000,91.4,42900000,7.71E+13,75500,384000000,3640000,9720000,108,772,2740,3120,2040,2430,654,140,76.2
W,W760X434,W760X434,F,434,55500,813,813,389,387,25.9,25.4,12.7,47,47.6,67.1,79.4,44.5,4.12,26.2,6200000000,17400000,15200000,335,458000000,3650000,2360000,90.9,31300000,6.71E+13,74200,340000000,3260000,8670000,107,767,2720,3100,2010,2400,654,140,76.2
W,W760X389,W760X389,F,389,49700,803,803,386,384,23.6,23.8,12.7,41.9,41.3,62,74.6,42.9,4.59,28.7,5450000000,15500000,13600000,333,399000000,3210000,2080000,89.7,22500000,5.77E+13,73500,297000000,2880000,7690000,106,762,2690,3070,1990,2380,654,140,76.2
W,W760X350,W760X350,F,350,44700,795,794,384,381,21.1,20.6,11.1,38.1,38.1,58.2,69.9,41.3,5.02,32.2,4870000000,13900000,12300000,330,356000000,2870000,1870000,89.2,16800000,5.10E+13,72300,265000000,2610000,6900000,105,757,2670,3050,1970,2360,654,140,76.2
W,W760X314,W760X314,F,314,40200,785,787,384,384,19.7,19,9.52,33.5,33.3,53.3,65.1,41.3,5.74,34.5,4290000000,12300000,10900000,328,315000000,2540000,1640000,88.6,11800000,4.46E+13,72300,231000000,2290000,6100000,104,752,2640,3020,1950,2340,654,140,76.2
W,W760X284,W760X284,F,284,36200,780,778,381,381,18,17.5,9.52,30.2,30.2,50,63.5,39.7,6.35,37.7,3830000000,11100000,9830000,325,280000000,2260000,1470000,87.9,8740000,3.92E+13,71600,206000000,2050000,5490000,103,749,2640,3020,1940,2320,654,140,76.2
W,W760X257,W760X257,F,257,32800,772,775,381,381,16.6,15.9,7.94,27.2,27,47,58.7,39.7,7.04,40.8,3430000000,9950000,8870000,323,249000000,2020000,1310000,86.9,6490000,3.46E+13,71000,184000000,1850000,4930000,102,744,2620,3000,1930,2310,654,140,76.2
W,W760X220,W760X220,F,220,28100,780,778,267,267,16.5,15.9,7.94,30,30.2,46.5,63.5,39.7,4.44,41.6,2780000000,8190000,7140000,315,94500000,1110000,710000,57.9,6040000,1.33E+13,50000,99900000,1410000,4060000,70.4,749,2300,2570,1830,2090,654,140,
W,W760X196,W760X196,F,196,25000,770,768,267,267,15.6,15.9,7.94,25.4,25.4,41.9,57.2,38.1,5.27,43.9,2400000000,7160000,6230000,310,81600000,957000,610000,57.2,4050000,1.13E+13,49600,84100000,1190000,3520000,69.8,744,2270,2540,1810,2070,654,140,
W,W760X185,W760X185,F,185,23500,767,765,267,267,14.9,14.3,7.94,23.6,23.8,40.1,57.2,38.1,5.65,46.2,2230000000,6690000,5820000,307,75300000,885000,564000,56.6,3330000,1.04E+13,49500,78300000,1110000,3310000,69.3,744,2270,2540,1800,2070,654,140,
W,W760X173,W760X173,F,173,22100,762,762,267,267,14.4,14.3,7.94,21.6,22.2,38.1,54,38.1,6.17,47.8,2050000000,6190000,5390000,305,68300000,806000,513000,55.6,2680000,9.37E+12,49400,71200000,1010000,3060000,68.6,742,2270,2530,1790,2060,654,140,
W,W760X161,W760X161,F,161,20500,757,759,267,267,13.8,14.3,7.94,19.3,19,35.8,50.8,38.1,6.89,49.6,1860000000,5670000,4900000,302,60800000,719000,457000,54.6,2080000,8.30E+12,49200,63300000,900000,2790000,67.8,737,2260,2520,1780,2050,654,140,
W,W760X147,W760X147,F,147,18700,754,752,267,267,13.2,12.7,6.35,17,17.5,33.5,50.8,38.1,7.8,51.9,1660000000,5110000,4410000,297,53300000,633000,401000,53.3,1570000,7.20E+12,49200,55800000,795000,2520000,66.5,737,2250,2520,1780,2040,654,140,
W,W760X134,W760X134,F,134,17000,749,749,264,264,11.9,12.7,6.35,15.5,15.9,32,47.6,36.5,8.52,57.5,1500000000,4640000,4010000,297,47900000,569000,362000,53.1,1180000,6.44E+12,48500,49500000,716000,2280000,66,734,2240,2500,1760,2030,654,140,
W,W690X802,W690X802,T,802,103000,826,826,389,387,50,50.8,25.4,89.9,90.5,110,113,46,2.15,12.1,10700000000,31000000,25700000,323,878000000,7160000,4540000,92.7,206000000,1.19E+14,71600,624000000,5600000,15500000,112,737,2690,3070,2040,2430,584,140,
W,W690X548,W690X548,T,548,70300,772,772,373,371,35.1,34.9,17.5,63,63.5,83.1,93.7,47.6,2.96,17.3,6740000000,20300000,17400000,310,545000000,4570000,2930000,88.4,70800000,6.85E+13,66500,389000000,3790000,10200000,105,709,2540,2920,1920,2290,584,140,
W,W690X500,W690X500,T,500,64000,762,762,371,368,32,31.8,15.9,57.9,57.2,78,88.9,46,3.19,18.9,6080000000,18500000,15900000,307,491000000,4130000,2650000,87.6,54500000,6.07E+13,65200,350000000,3460000,9230000,104,704,2540,2920,1890,2270,584,140,
