type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS3-1/2X2-1/2X.250,HSS3-1/2X2-1/2X1/4,8.81,2.44,3.5,2.8,,2.5,1.8,0.25,0.23,7.73,12,,3.79,2.74,2.17,1.25,2.23,2.16,1.78,0.96,4.75,3.4
HSS,HSS3-1/2X2-1/2X.188,HSS3-1/2X2-1/2X3/16,6.87,1.89,3.5,2.98,,2.5,1.98,0.19,0.17,11.4,17.1,,3.09,2.18,1.76,1.28,1.82,1.72,1.46,0.98,3.78,2.67
HSS,HSS3-1/2X2-1/2X.125,HSS3-1/2X2-1/2X1/8,4.75,1.3,3.5,3.15,,2.5,2.15,0.13,0.12,18.6,27.2,,2.23,1.54,1.28,1.31,1.33,1.22,1.06,1.01,2.67,1.87
HSS,HSS3-1/2X2X.250,HSS3-1/2X2X1/4,7.96,2.21,3.5,2.8,,2,1.3,0.25,0.23,5.58,12,,3.17,2.36,1.81,1.2,1.3,1.58,1.3,0.77,3.16,2.64
HSS,HSS3-1/2X2X.188,HSS3-1/2X2X3/16,6.23,1.71,3.5,2.98,,2,1.48,0.19,0.17,8.49,17.1,,2.61,1.89,1.49,1.23,1.08,1.27,1.08,0.79,2.55,2.09
HSS,HSS3-1/2X2X.125,HSS3-1/2X2X1/8,4.33,1.19,3.5,3.15,,2,1.65,0.13,0.12,14.2,27.2,,1.9,1.34,1.09,1.27,0.8,0.91,0.8,0.82,1.83,1.47
HSS,HSS3-1/2X1-1/2X.250,HSS3-1/2X1-1/2X1/4,7.11,1.97,3.5,2.8,,1.5,0.8,0.25,0.23,3.44,12,,2.55,1.98,1.46,1.14,0.64,1.06,0.85,0.57,1.79,1.88
HSS,HSS3-1/2X1-1/2X.188,HSS3-1/2X1-1/2X3/16,5.59,1.54,3.5,2.98,,1.5,0.98,0.19,0.17,5.62,17.1,,2.12,1.6,1.21,1.17,0.54,0.87,0.73,0.59,1.49,1.51
HSS,HSS3-1/2X1-1/2X.125,HSS3-1/2X1-1/2X1/8,3.9,1.07,3.5,3.15,,1.5,1.15,0.13,0.12,9.93,27.2,,1.57,1.15,0.9,1.21,0.41,0.63,0.55,0.62,1.09,1.08
HSS,HSS3X3X.375,HSS3X3X3/8,12.17,3.39,3,1.95,,3,1.95,0.38,0.35,5.6,5.6,,3.78,3.25,2.52,1.06,3.78,3.25,2.52,1.06,6.64,4.74
HSS,HSS3X3X.313,HSS3X3X5/16,10.58,2.94,3,2.13,,3,2.13,0.31,0.29,7.31,7.31,,3.45,2.9,2.3,1.08,3.45,2.9,2.3,1.08,5.94,4.18
HSS,HSS3X3X.250,HSS3X3X1/4,8.81,2.44,3,2.3,,3,2.3,0.25,0.23,9.88,9.88,,3.02,2.48,2.01,1.11,3.02,2.48,2.01,1.11,5.08,3.52
HSS,HSS3X3X.188,HSS3X3X3/16,6.87,1.89,3,2.48,,3,2.48,0.19,0.17,14.2,14.2,,2.46,1.97,1.64,1.14,2.46,1.97,1.64,1.14,4.03,2.76
HSS,HSS3X3X.125,HSS3X3X1/8,4.75,1.3,3,2.65,,3,2.65,0.13,0.12,22.9,22.9,,1.78,1.4,1.19,1.17,1.78,1.4,1.19,1.17,2.84,1.92
HSS,HSS3X2-1/2X.313,HSS3X2-1/2X5/16,9.51,2.64,3,2.13,,2.5,1.63,0.31,0.29,5.59,7.31,,2.92,2.51,1.94,1.05,2.18,2.2,1.74,0.91,4.34,3.39
HSS,HSS3X2-1/2X.250,HSS3X2-1/2X1/4,7.96,2.21,3,2.3,,2.5,1.8,0.25,0.23,7.73,9.88,,2.57,2.16,1.72,1.08,1.93,1.9,1.54,0.94,3.74,2.87
HSS,HSS3X2-1/2X.188,HSS3X2-1/2X3/16,6.23,1.71,3,2.48,,2.5,1.98,0.19,0.17,11.4,14.2,,2.11,1.73,1.41,1.11,1.59,1.52,1.27,0.96,3,2.27
HSS,HSS3X2-1/2X.125,HSS3X2-1/2X1/8,4.33,1.19,3,2.65,,2.5,2.15,0.13,0.12,18.6,22.9,,1.54,1.23,1.03,1.14,1.16,1.09,0.93,0.99,2.13,1.59
HSS,HSS3X2X.313,HSS3X2X5/16,8.45,2.35,3,2.13,,2,1.13,0.31,0.29,3.87,7.31,,2.38,2.11,1.59,1.01,1.24,1.58,1.24,0.73,2.87,2.6
HSS,HSS3X2X.250,HSS3X2X1/4,7.11,1.97,3,2.3,,2,1.3,0.25,0.23,5.58,9.88,,2.13,1.83,1.42,1.04,1.11,1.38,1.11,0.75,2.52,2.23
HSS,HSS3X2X.188,HSS3X2X3/16,5.59,1.54,3,2.48,,2,1.48,0.19,0.17,8.49,14.2,,1.77,1.48,1.18,1.07,0.93,1.12,0.93,0.78,2.05,1.78
HSS,HSS3X2X.125,HSS3X2X1/8,3.9,1.07,3,2.65,,2,1.65,0.13,0.12,14.2,22.9,,1.3,1.06,0.87,1.1,0.69,0.8,0.69,0.8,1.47,1.25
