grade,supplier,species,lamGradeS,fbS,ES,ftS,fcS,fcpS,fvS,fsS,lamGradeW,fbW,EW,ftW,fcW,fcpW,fvW,fsW,rho
E1,prg320,SPF,1950-1.7E,1950,1700000,1375,1800,-1,135,45,No.3,500,1200000,250,650,-1,1.5,135,45
E2,prg320,D.Fir,1650-1.7E,1650,1500000,1020,1700,-1,180,60,No.3,525,1400000,325,775,-1,1.9,180,60
E3,prg320,Eastern,1200-1.7E,1200,1200000,600,1400,-1,110,35,No.3,350,900000,150,475,-1,1.2,110,35
E5,prg320,H.Fir.,1650-1.7E,1650,1950000,1020,1700,-1,150,50,No.3,500,1200000,300,725,-1,1.6,150,50
V1,prg320,D.Fir,No.2,900,900000,575,1350,-1,180,60,No.3,525,1400000,325,775,-1,1.9,180,60
V2,prg320,SPF,No1/No.2,750,875000,450,1150,-1,135,45,No.3,500,1200000,250,650,-1,1.5,135,45
V3,prg320,S.Pine,No.2,775,750000,450,1250,-1,175,55,No.3,450,1300000,250,725,-1,1.6,175,55
