type,EDI_Std_Nomenclature,d,h,b,t,ro,ri,d,A,Ix,Iy,rx,ry,Sx,Sy,Avy,Avx,J,Jstv,Jwarp,Sj,Cw,Zx,Zy,W,Am
HSS,HSS305x305x6.4,304.8,304.8,304.8,6.3,15.9,9.5,273.1,7480,110000000,110000000,121,121,723000,723000,3229,3229,171000000,100000,170900000,1084720,308990000,833000,833000,58.7,1.2
HSS,HSS254x254x16,254,254,254,15.9,47.6,31.8,158.7,14500,134000000,134000000,96.1,96.1,1050000,1050000,7253,7253,220000000,1180300,218819700,1568100,1309360000,1270000,1270000,113.8,0.961
HSS,HSS254x254x13,254,254,254,12.7,38.1,25.4,177.8,11800,113000000,113000000,97.6,97.6,889000,889000,5685,5685,183000000,621800,182378200,1327890,977160000,1060000,1060000,92.6,0.972
HSS,HSS254x254x9.5,254,254,254,9.5,23.8,14.3,206.3,9090,89300000,89300000,99.1,99.1,703000,703000,4062,4062,142000000,272700,141727300,1055380,435940000,825000,825000,71.4,0.983
HSS,HSS254x254x7.9,254,254,254,7.9,19.9,11.9,214.3,7650,76400000,76400000,99.9,99.9,601000,601000,3383,3383,120000000,159700,119840300,902440,286470000,701000,701000,60.1,0.989
HSS,HSS254x254x6.4,254,254,254,6.3,15.9,9.5,222.3,6190,62700000,62700000,101,101,494000,494000,2703,2703,97800000,82700,97717300,740560,165280000,571000,571000,48.6,0.994
HSS,HSS254x254x4.8,254,254,254,4.8,9.6,4.8,234.9,4710,48400000,48400000,101,101,381000,381000,2003,2003,74800000,35800,74764200,571950,47790000,438000,438000,37,1
HSS,HSS203x203x16,203.2,203.2,203.2,15.9,47.6,31.8,107.9,11200,63800000,63800000,75.3,75.3,628000,628000,5915,5915,107000000,909100,106090900,931100,391710000,774000,774000,87.9,0.758
HSS,HSS203x203x13,203.2,203.2,203.2,12.7,38.1,25.4,127,9260,54700000,54700000,76.9,76.9,538000,538000,4611,4611,90200000,483000,89717000,802690,343130000,651000,651000,72.7,0.769
HSS,HSS203x203x9.5,203.2,203.2,203.2,9.5,23.8,14.3,155.5,7150,43900000,43900000,78.4,78.4,432000,432000,3250,3250,70800000,214000,70586000,649340,183010000,513000,513000,56.1,0.78
HSS,HSS203x203x7.9,203.2,203.2,203.2,7.9,19.9,11.9,163.5,6040,37800000,37800000,79.2,79.2,372000,372000,2702,2702,60300000,125800,60174200,559100,125160000,438000,438000,47.4,0.786
HSS,HSS203x203x6.4,203.2,203.2,203.2,6.3,15.9,9.5,171.4,4900,31300000,31300000,79.9,79.9,308000,308000,2166,2166,49300000,65300,49234700,461920,74930000,359000,359000,38.5,0.791
HSS,HSS203x203x4.8,203.2,203.2,203.2,4.8,9.6,4.8,184.1,3730,24300000,24300000,80.7,80.7,239000,239000,1596,1596,37800000,28400,37771600,359180,22850000,276000,276000,29.3,0.796
HSS,HSS178x178x16,177.8,177.8,177.8,15.9,47.6,31.8,82.5,9640,40600000,40600000,64.9,64.9,457000,457000,5279,5279,69300000,773400,68526600,673780,168780000,571000,571000,75.7,0.657
HSS,HSS178x178x13,177.8,177.8,177.8,12.7,38.1,25.4,101.6,7970,35200000,35200000,66.5,66.5,396000,396000,4085,4085,58800000,413600,58386400,589110,170850000,484000,484000,62.6,0.668
HSS,HSS178x178x9.5,177.8,177.8,177.8,9.5,23.8,14.3,130.2,6180,28600000,28600000,68,68,322000,322000,2853,2853,46500000,184700,46315300,483170,105610000,385000,385000,48.5,0.678
HSS,HSS178x178x7.9,177.8,177.8,177.8,7.9,19.9,11.9,138.1,5230,24800000,24800000,68.8,68.8,279000,279000,2380,2380,39800000,108800,39691200,418150,74520000,330000,330000,41.1,0.684
HSS,HSS178x178x6.4,177.8,177.8,177.8,6.3,15.9,9.5,146.1,4250,20600000,20600000,69.6,69.6,231000,231000,1900,1900,32600000,56700,32543300,347180,45900000,271000,271000,33.4,0.689
HSS,HSS178x178x4.8,177.8,177.8,177.8,4.8,9.6,4.8,158.7,3250,16100000,16100000,70.3,70.3,181000,181000,1401,1401,25100000,24700,25075300,271300,14570000,210000,210000,25.5,0.695
HSS,HSS152x152x13,152.4,152.4,152.4,12.7,38.1,25.4,76.2,6680,21000000,21000000,56.1,56.1,276000,276000,3572,3572,35600000,344300,35255700,408170,69340000,342000,342000,52.4,0.566
HSS,HSS152x152x9.5,152.4,152.4,152.4,9.5,23.8,14.3,104.8,5210,17300000,17300000,57.6,57.6,227000,227000,2446,2446,28500000,155400,28344600,341530,53930000,275000,275000,40.9,0.577
HSS,HSS152x152x7.9,152.4,152.4,152.4,7.9,19.9,11.9,112.7,4430,15100000,15100000,58.4,58.4,198000,198000,2036,2036,24500000,91900,24408100,297650,39830000,237000,237000,34.8,0.582
HSS,HSS152x152x6.4,152.4,152.4,152.4,6.3,15.9,9.5,120.7,3610,12600000,12600000,59.2,59.2,166000,166000,1618,1618,20200000,48000,20152000,248800,25550000,196000,196000,28.3,0.588
HSS,HSS152x152x4.8,152.4,152.4,152.4,4.8,9.6,4.8,133.3,2760,9930000,9930000,59.9,59.9,130000,130000,1191,1191,15600000,21000,15579000,195750,8570000,152000,152000,21.7,0.593
HSS,HSS127x127x13,127,127,127,12.7,38.1,25.4,50.8,5390,11300000,11300000,45.7,45.7,177000,177000,3107,3107,19500000,274900,19225100,259800,19440000,225000,225000,42.3,0.464
HSS,HSS127x127x9.5,127,127,127,9.5,23.8,14.3,79.4,4240,9480000,9480000,47.3,47.3,149000,149000,2052,2052,15900000,126100,15773900,224420,22740000,183000,183000,33.3,0.475
HSS,HSS127x127x7.9,127,127,127,7.9,19.9,11.9,87.3,3620,8350000,8350000,48,48,131000,131000,1702,1702,13800000,74900,13725100,197610,18070000,159000,159000,28.4,0.481
HSS,HSS127x127x6.4,127,127,127,6.3,15.9,9.5,95.3,2960,7050000,7050000,48.8,48.8,111000,111000,1355,1355,11400000,39300,11360700,166800,12350000,132000,132000,23.2,0.486
HSS,HSS127x127x4.8,127,127,127,4.8,9.6,4.8,107.9,2280,5600000,5600000,49.6,49.6,88100,88100,989,989,8900000,17300,8882700,132520,4500000,103000,103000,17.9,0.492
HSS,HSS127x127x3.2,127,127,127,3.2,6.4,3.2,114.3,1550,3920000,3920000,50.3,50.3,61800,61800,662,662,6120000,5200,6114800,92770,1610000,71500,71500,12.2,0.497
HSS,HSS102x102x13,101.6,101.6,101.6,12.7,38.1,25.4,25.4,4100,5100000,5100000,35.3,35.3,100000,100000,2619,2619,9070000,205500,8864500,143920,2280000,131000,131000,32.2,0.363
HSS,HSS102x102x9.5,101.6,101.6,101.6,9.5,23.8,14.3,53.9,3280,4450000,4450000,36.9,36.9,87600,87600,1653,1653,7640000,96800,7543200,131770,6810000,110000,110000,25.7,0.374
HSS,HSS102x102x7.9,101.6,101.6,101.6,7.9,19.9,11.9,61.9,2810,3990000,3990000,37.7,37.7,78500,78500,1372,1372,6710000,58000,6652000,118000,6200000,96700,96700,22.1,0.379
HSS,HSS102x102x6.4,101.6,101.6,101.6,6.3,15.9,9.5,69.8,2320,3420000,3420000,38.4,38.4,67300,67300,1089,1089,5640000,30700,5609300,101160,4730000,81400,81400,18.2,0.385
HSS,HSS102x102x4.8,101.6,101.6,101.6,4.8,9.6,4.8,82.5,1790,2750000,2750000,39.2,39.2,54200,54200,783,783,4440000,13700,4426300,81630,1980000,64300,64300,14.1,0.39
HSS,HSS102x102x3.2,101.6,101.6,101.6,3.2,6.4,3.2,88.9,1230,1960000,1960000,40,40,38500,38500,530,530,3080000,4100,3075900,57890,750000,44900,44900,9.7,0.395
HSS,HSS89x89x9.5,88.9,88.9,88.9,9.5,23.8,14.3,41.3,2790,2800000,2800000,31.7,31.7,63000,63000,1461,1461,4880000,82100,4797900,94600,2930000,80500,80500,21.9,0.323
HSS,HSS89x89x7.9,88.9,88.9,88.9,7.9,19.9,11.9,49.2,2410,2540000,2540000,32.5,32.5,57100,57100,1207,1207,4330000,49500,4280500,85830,3020000,71300,71300,18.9,0.328
HSS,HSS89x89x6.4,88.9,88.9,88.9,6.3,15.9,9.5,57.2,1990,2200000,2200000,33.2,33.2,49500,49500,954,954,3670000,26300,3643700,74460,2540000,60500,60500,15.6,0.334
HSS,HSS89x89x4.8,88.9,88.9,88.9,4.8,9.6,4.8,69.8,1550,1790000,1790000,34,34,40300,40300,682,682,2920000,11800,2908200,60800,1190000,48200,48200,12.2,0.339
HSS,HSS76x76x9.5,76.2,76.2,76.2,9.5,23.8,14.3,28.6,2310,1610000,1610000,26.5,26.5,42400,42400,1260,1260,2870000,67500,2802500,63520,930000,55500,55500,18.1,0.272
HSS,HSS76x76x7.9,76.2,76.2,76.2,7.9,19.9,11.9,36.5,2010,1490000,1490000,27.3,27.3,39100,39100,1041,1041,2590000,41000,2549000,58760,1180000,49800,49800,15.8,0.278
HSS,HSS76x76x6.4,76.2,76.2,76.2,6.3,15.9,9.5,44.5,1670,1310000,1310000,28,28,34500,34500,818,818,2230000,22000,2208000,51850,1160000,42800,42800,13.1,0.283
HSS,HSS76x76x4.8,76.2,76.2,76.2,4.8,9.6,4.8,57.1,1310,1080000,1080000,28.8,28.8,28500,28500,576,576,1790000,10000,1780000,43050,640000,34400,34400,10.3,0.288
HSS,HSS76x76x3.2,76.2,76.2,76.2,3.2,6.4,3.2,63.5,903,790000,790000,29.6,29.6,20700,20700,393,393,1260000,3000,1257000,31220,270000,24500,24500,7.1,0.294
HSS,HSS64x64x6.4,63.5,63.5,63.5,6.3,15.9,9.5,31.8,1350,703000,703000,22.8,22.8,22200,22200,691,691,1220000,17600,1202400,33300,400000,28100,28100,10.6,0.232
HSS,HSS64x64x4.8,63.5,63.5,63.5,4.8,9.6,4.8,44.4,1060,594000,594000,23.6,23.6,18700,18700,480,480,995000,8100,986900,28370,290000,23000,23000,8.3,0.238
HSS,HSS64x64x3.2,63.5,63.5,63.5,3.2,6.4,3.2,50.8,741,441000,441000,24.4,24.4,13900,13900,325,325,715000,2500,712500,20950,140000,16600,16600,5.8,0.243
HSS,HSS51x51x6.4,50.8,50.8,50.8,6.3,15.9,9.5,19,1030,319000,319000,17.6,17.6,12600,12600,563,563,567000,13300,553700,18820,80000,16400,16400,8.1,0.181
HSS,HSS51x51x4.8,50.8,50.8,50.8,4.8,9.6,4.8,31.7,821,279000,279000,18.4,18.4,11000,11000,379,379,479000,6300,472700,16760,100000,13800,13800,6.4,0.187
HSS,HSS51x51x3.2,50.8,50.8,50.8,3.2,6.4,3.2,38.1,580,214000,214000,19.2,19.2,8420,8420,258,258,353000,2000,351000,12730,60000,10200,10200,4.6,0.192
HSS,HSS38x38x4.8,38.1,38.1,38.1,4.8,9.6,4.8,19,578,101000,101000,13.2,13.2,5300,5300,276,276,180000,4400,175600,8210,20000,6950,6950,4.5,0.136
HSS,HSS38x38x3.2,38.1,38.1,38.1,3.2,6.4,3.2,25.4,418,82200,82200,14,14,4310,4310,190,190,139000,1400,137600,6560,20000,5350,5350,3.3,0.141
